ACT_ID,DESCR,ANALYSIS_YR,STREAM_ID,AREA,SPECIES,SEN_STATUS,ESTIMATE_CLASSIFICATION,ESTIMATE_METHOD,WATERSHED_CDE,ESTIMATE_STAGE,SPL_ID,SEN_PRESENCE_ADULT,SEN_PRESENCE_JACK,NATURAL_ADULT_SPAWNERS,NATURAL_JACK_SPAWNERS,NATURAL_SPAWNERS_TOTAL,ADULT_BROODSTOCK_REMOVALS,JACK_BROODSTOCK_REMOVALS,TOTAL_BROODSTOCK_REMOVALS,OTHER_REMOVALS,TOTAL_RETURN_TO_RIVER,UNSPECIFIED_RETURN,NO_INSPECTIONS_USED,POPULATION,MAX_ESTIMATE,RUN_TYPE,SEN_NUSEDS1_ENUM_METHOD1,SEN_NUSEDS1_ENUM_METHOD2,SEN_NUSEDS1_ENUM_METHOD3,SEN_NUSEDS1_ENUM_METHOD4,SEN_NUSEDS1_ENUM_METHOD5,SEN_NUSEDS1_ENUM_METHOD6,EFFECTIVE_FEMALES,WEIGHTED_PCT_SPAWN,OTHER_ADULT_REMOVALS,OTHER_JACK_REMOVALS,TOT_ADULT_RET_RIVER,TOT_JACK_RET_RIVER,JUV_PRES_TYP,GEOGRAPHICAL_EXTNT_OF_ESTIMATE,POP_ID,CU_NAME,CU_INDEX,CU_TYPE,SPECIES_QUALIFIED,SBJ_ID
777240,Harrison River (Mission) Pink 1959,1959,179,29D,Pink,RELEASED,UNKNOWN,Unknown Estimate Method,110-000000-00000-00000-0000-0000-000-000-000-000-000-000,NEAR FINAL,8349725,PRESENT,UNKNOWN,,,,,,,,,110311,,Harrison River (Mission) Pink,110311,,,,,,,,,,,,,,,HARRISON RIVER,46032,FRASER RIVER,1,Current,PKO,7389
48163009,Deadman River (Lillooet) Pink Run 1 1999,1999,217,29F,Pink,RELEASED,UNKNOWN,Not Applicable,120-714600-00000-00000-0000-0000-000-000-000-000-000-000,NEAR FINAL,84791281,NOT INSPECTED,,,,,,,,,,,,Deadman River (Lillooet) Pink Run 1,,1,,,,,,,,,,,,,,DEADMAN RIVER,46212,FRASER RIVER,1,Current,PKO,7389
50591879,Slesse Creek (Chilliwack) Pink 1997,1997,77,29E,Pink,RELEASED,UNKNOWN,Not Applicable,100-065700-09700-38000-0000-0000-000-000-000-000-000-000,NEAR FINAL,32766098,NOT INSPECTED,,,,,,,,,,,,Slesse Creek (Chilliwack) Pink,,,,,,,,,,,,,,,,SLESSE CREEK,47034,FRASER RIVER,1,Current,PKO,7389
969730,Churn Creek (Lillooet) Pink 1957,1957,138,29F,Pink,RELEASED,UNKNOWN,Unknown Estimate Method,100-324200-00000-00000-0000-0000-000-000-000-000-000-000,FINAL,8542215,PRESENT,UNKNOWN,,,,,,,,,16,,Churn Creek (Lillooet) Pink,16,,,,,,,,,,,,,,,CHURN CREEK,47237,FRASER RIVER,1,Current,PKO,7389
782043,Anderson River (Chilliwack) Pink 1957,1957,124,29E,Pink,RELEASED,UNKNOWN,Unknown Estimate Method,100-158000-00000-00000-0000-0000-000-000-000-000-000-000,NEAR FINAL,8354528,PRESENT,UNKNOWN,,,,,,,,,967,,Anderson River (Chilliwack) Pink,967,,,,,,,,,,,,,,,ANDERSON RIVER,47154,FRASER RIVER,1,Current,PKO,7389
814055,Sucker Creek (Chilliwack) Pink Run 1 1989,1989,113,29E,Pink,RELEASED,UNKNOWN,Unknown Estimate Method,100-115400-03100-00000-0000-0000-000-000-000-000-000-000,NEAR FINAL,8386540,PRESENT,UNKNOWN,,,,,,,,,1651,,Sucker Creek (Chilliwack) Pink Run 1,1651,1,,,,,,,,,,,,,,SUCKER CREEK,47129,FRASER RIVER,1,Current,PKO,7389
770158,Liumchen Creek (Chilliwack) Pink 1973,1973,71,29E,Pink,RELEASED,UNKNOWN,Unknown Estimate Method,100-065700-09700-17700-0000-0000-000-000-000-000-000-000,FINAL,8342643,PRESENT,UNKNOWN,,,,,,,,,65,,Liumchen Creek (Chilliwack) Pink,65,,,,,,,,,,,,,,,LIUMCHEN CREEK,47020,FRASER RIVER,1,Current,PKO,7389
728676,American Creek (Chilliwack) Pink 1983,1983,118,29E,Pink,RELEASED,UNKNOWN,Unknown Estimate Method,100-119000-00000-00000-0000-0000-000-000-000-000-000-000,NEAR FINAL,8301161,PRESENT,UNKNOWN,,,,,,,,,333,,American Creek (Chilliwack) Pink,333,,,,,,,,,,,,,,,AMERICAN CREEK,47141,FRASER RIVER,1,Current,PKO,7389
970688,Bridge River (Lillooet) Pink Run 1 1981,1981,133,29F,Pink,RELEASED,UNKNOWN,Unknown Estimate Method,100-241900-00000-00000-0000-0000-000-000-000-000-000-000,NEAR FINAL,8543173,PRESENT,UNKNOWN,,,,,,,,,43940,,Bridge River (Lillooet) Pink Run 1,43940,1,,,,,,,,,,,,,,BRIDGE RIVER,47225,FRASER RIVER,1,Current,PKO,7389
783016,Nicola River (Lillooet) Pink Run 1 1979,1979,213,29F,Pink,RELEASED,UNKNOWN,Unknown Estimate Method,120-246600-00000-00000-0000-0000-000-000-000-000-000-000,FINAL,8355501,PRESENT,UNKNOWN,,,,,,,,,1981,,Nicola River (Lillooet) Pink Run 1,1981,1,,,,,,,,,,,,,,NICOLA RIVER,46172,FRASER RIVER,1,Current,PKO,7389
758115,Chehalis River (Mission) Pink 1987,1987,181,29D,Pink,RELEASED,UNKNOWN,Not Applicable,110-090200-00000-00000-0000-0000-000-000-000-000-000-000,NEAR FINAL,8330600,NONE OBSERVED,UNKNOWN,,,,,,,,,0,,Chehalis River (Mission) Pink,0,,,,,,,,,,,,,,,CHEHALIS RIVER,46040,FRASER RIVER,1,Current,PKO,7389
749421,Seton River (Lillooet) Pink 1963,1963,2476,29F,Pink,RELEASED,UNKNOWN,Unknown Estimate Method,100-235900-00000-00000-0000-0000-000-000-000-000-000-000,FINAL,8321906,PRESENT,UNKNOWN,,,,,,,,,107484,,Seton River (Lillooet) Pink,107484,,,,,,,,,,,,,,,SETON RIVER,44540,FRASER RIVER,1,Current,PKO,7389
