"CU_Name","CU_acro","DU_ID","CU_ID","Pop_Name","Pop_ID","Year","EstClass","TotalInfilled","StartYear","UseYear"
"South Thompson-Bessette Creek_SU_1.2","STh-BESS","DU14","CK-16","CREIGHTON CREEK",812,2000,"RELATIVE ABUNDANCE (TYPE-4)",0,NA,TRUE
"South Thompson-Bessette Creek_SU_1.2","STh-BESS","DU14","CK-16","CREIGHTON CREEK",812,2001,"RELATIVE ABUNDANCE (TYPE-3)",5,NA,TRUE
"South Thompson-Bessette Creek_SU_1.2","STh-BESS","DU14","CK-16","CREIGHTON CREEK",812,2002,"RELATIVE ABUNDANCE (TYPE-3)",3,NA,TRUE
"South Thompson-Bessette Creek_SU_1.2","STh-BESS","DU14","CK-16","CREIGHTON CREEK",812,2003,"RELATIVE ABUNDANCE (TYPE-3)",2,NA,TRUE
"South Thompson-Bessette Creek_SU_1.2","STh-BESS","DU14","CK-16","CREIGHTON CREEK",812,2004,"RELATIVE ABUNDANCE (TYPE-3)",8,NA,TRUE
"South Thompson-Bessette Creek_SU_1.2","STh-BESS","DU14","CK-16","CREIGHTON CREEK",812,2005,"RELATIVE ABUNDANCE (TYPE-4)",3,NA,TRUE
"South Thompson-Bessette Creek_SU_1.2","STh-BESS","DU14","CK-16","CREIGHTON CREEK",812,2006,"RELATIVE ABUNDANCE (TYPE-3)",0,NA,TRUE
"South Thompson-Bessette Creek_SU_1.2","STh-BESS","DU14","CK-16","CREIGHTON CREEK",812,2007,"RELATIVE ABUNDANCE (TYPE-3)",0,NA,TRUE
"South Thompson-Bessette Creek_SU_1.2","STh-BESS","DU14","CK-16","CREIGHTON CREEK",812,2008,"RELATIVE ABUNDANCE (TYPE-4)",0,NA,TRUE
"South Thompson-Bessette Creek_SU_1.2","STh-BESS","DU14","CK-16","CREIGHTON CREEK",812,2009,"RELATIVE ABUNDANCE (TYPE-3)",0,NA,TRUE
"South Thompson-Bessette Creek_SU_1.2","STh-BESS","DU14","CK-16","CREIGHTON CREEK",812,2010,"RELATIVE ABUNDANCE (TYPE-3)",0,NA,TRUE
"South Thompson-Bessette Creek_SU_1.2","STh-BESS","DU14","CK-16","CREIGHTON CREEK",812,2011,"RELATIVE ABUNDANCE (TYPE-3)",0,NA,TRUE
"South Thompson-Bessette Creek_SU_1.2","STh-BESS","DU14","CK-16","CREIGHTON CREEK",812,2012,"RELATIVE ABUNDANCE (TYPE-3)",0,NA,TRUE
"South Thompson-Bessette Creek_SU_1.2","STh-BESS","DU14","CK-16","CREIGHTON CREEK",812,2013,"RELATIVE ABUNDANCE (TYPE-3)",0,NA,TRUE
"South Thompson-Bessette Creek_SU_1.2","STh-BESS","DU14","CK-16","CREIGHTON CREEK",812,2014,"RELATIVE ABUNDANCE (TYPE-3)",0,NA,TRUE
"South Thompson-Bessette Creek_SU_1.2","STh-BESS","DU14","CK-16","CREIGHTON CREEK",812,2015,"RELATIVE ABUNDANCE (TYPE-4)",2,NA,TRUE
