"CU","SiteName","popID","rtnYear","EstClass","MissEscCode","SumSpnEstimates_ADonly","SumSpnEstimates_ADinfilled","NatSpwnAD","NatSpwnJA","NatSpwnUNK","BroodStockAD","BroodStockJA","BroodStockUNK","TotRtnRiver","HatchOriginAD","HatchOriginJA","SumSpnEstimates_withJacks","SumSpnEstimates_pC","Comment","EstClassOrig"
"CK-16","CREIGHTON CREEK",812,2011,"RELATIVE ABUNDANCE (TYPE-3)","","0","0","0","","","","","","","","","","","","RELATIVE ABUNDANCE (TYPE-3)"
"CK-16","CREIGHTON CREEK",812,2012,"RELATIVE ABUNDANCE (TYPE-3)","","0","0","0","","","","","","","","","","","","RELATIVE ABUNDANCE (TYPE-3)"
"CK-16","CREIGHTON CREEK",812,2013,"RELATIVE ABUNDANCE (TYPE-3)","","0","0","0","","","","","","","","","","","","RELATIVE ABUNDANCE (TYPE-3)"
"CK-16","CREIGHTON CREEK",812,2014,"RELATIVE ABUNDANCE (TYPE-3)","","0","0","0","","","","","","","","","","","","RELATIVE ABUNDANCE (TYPE-3)"
"CK-16","CREIGHTON CREEK",812,2015,"RELATIVE ABUNDANCE (TYPE-4)","","2","2","2","","","","","","","","","","","","RELATIVE ABUNDANCE (TYPE-4)"
"CK-16","CREIGHTON CREEK",812,2016,"INFILL","","","0.0745614035087719","","","","","","","","","","","","","QualFiltered"
"CK-16","CREIGHTON CREEK",812,2017,"RELATIVE ABUNDANCE (TYPE-3)","","0","0","0","","","","","","","","","","","","RELATIVE ABUNDANCE (TYPE-3)"
"CK-16","CREIGHTON CREEK",812,2018,"RELATIVE ABUNDANCE (TYPE-4)","","0","0","0","","","","","","","","","","","","RELATIVE ABUNDANCE (TYPE-4)"
"CK-16","CREIGHTON CREEK",812,2019,"RELATIVE ABUNDANCE (TYPE-4)","","0","0","0","","","","","","","","","","","","RELATIVE ABUNDANCE (TYPE-4)"
"CK-12","EAST TWIN CREEK",926,1975,"QualFiltered","","","","5","","","","","","","","","","","","QualFiltered"
"CK-12","EAST TWIN CREEK",926,1977,"QualFiltered","","","","10","","","","","","","","","","","","QualFiltered"
"CK-12","EAST TWIN CREEK",926,1979,"QualFiltered","","","","25","","","","","","","","","","","","QualFiltered"
"CK-12","EAST TWIN CREEK",926,1981,"QualFiltered","","","","10","","","","","","","","","","","","QualFiltered"
"CK-12","EAST TWIN CREEK",926,1982,"QualFiltered","","","","20","","","","","","","","","","","","QualFiltered"
