"popID","rtnYear","EstClass","MissEscCode","SumSpnEstimates_ADonly","SumSpnEstimates_ADinfilled","NatSpwnAD","NatSpwnJA","NatSpwnUNK","BroodStockAD","BroodStockJA","BroodStockUNK","TotRtnRiver","HatchOriginAD","HatchOriginJA","SumSpnEstimates_withJacks","SumSpnEstimates_pC","Comment"
1756,2021,"RELATIVE ABUNDANCE (TYPE-4)",NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1840,1996,"QualFiltered",NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1840,1997,"QualFiltered",NA,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2076,1996,"OtherSource",NA,14,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2076,2000,"OtherSource",NA,22,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2168,1996,"QualFiltered",NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2168,1997,"QualFiltered",NA,NA,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2178,1975,"QualFiltered",NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2178,1976,"QualFiltered",NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2178,1977,"QualFiltered",NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2178,1978,"QualFiltered",NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2178,1979,"QualFiltered",NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2178,1980,"QualFiltered",NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2178,1981,"QualFiltered",NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2178,1982,"QualFiltered",NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2178,1983,"QualFiltered",NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2178,1984,"QualFiltered",NA,NA,NA,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
