,Year,CU_ID,Species,Stock,Label,Metric,Compare,LBM,UBM,Value,Status
143,2012,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForAbd_Wild,IntStatus,NA,NA,NA,NA,NA
144,2013,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForAbd_Wild,IntStatus,NA,NA,NA,NA,NA
145,2014,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForAbd_Wild,IntStatus,NA,NA,NA,NA,NA
146,2015,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForAbd_Wild,IntStatus,NA,NA,NA,NA,NA
147,2016,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForAbd_Wild,IntStatus,NA,NA,NA,NA,DD
148,2017,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForAbd_Wild,IntStatus,NA,NA,NA,NA,DD
149,2018,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForAbd_Wild,IntStatus,NA,NA,NA,NA,DD
150,2010,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForAbd_Wild,RelLBM,130.9487616,NA,NA,NA,NA
151,2011,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForAbd_Wild,RelLBM,126.5583088,NA,NA,NA,NA
152,2012,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForAbd_Wild,RelLBM,126.5583088,NA,NA,NA,NA
153,2014,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForAbd_Wild,RelLBM,104.2206198,NA,NA,NA,NA
154,2016,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForAbd_Wild,RelLBM,89.53858101,NA,NA,NA,NA
155,2017,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForAbd_Wild,RelLBM,87.09398297,NA,NA,NA,NA
156,2018,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForAbd_Wild,RelLBM,86.79669615,NA,NA,NA,NA
157,2010,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForAbd_Wild,AbsLBM,130.9487616,1000,10000,0.130948762,Red
158,2011,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForAbd_Wild,AbsLBM,126.5583088,1000,10000,0.126558309,Red
159,2012,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForAbd_Wild,AbsLBM,126.5583088,1000,10000,0.126558309,Red
160,2014,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForAbd_Wild,AbsLBM,104.2206198,1000,10000,0.10422062,Red
161,2016,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForAbd_Wild,AbsLBM,89.53858101,1000,10000,0.089538581,Red
162,2017,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForAbd_Wild,AbsLBM,87.09398297,1000,10000,0.087093983,Red
163,2018,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForAbd_Wild,AbsLBM,86.79669615,1000,10000,0.086796696,Red
164,2010,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForTrend_Wild,LongTrend,NA,0.5,0.75,NA,NA
165,2011,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForTrend_Wild,LongTrend,NA,0.5,0.75,NA,NA
166,2012,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForTrend_Wild,LongTrend,NA,0.5,0.75,NA,NA
167,2014,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForTrend_Wild,LongTrend,NA,0.5,0.75,NA,NA
168,2016,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForTrend_Wild,LongTrend,NA,0.5,0.75,NA,NA
169,2017,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForTrend_Wild,LongTrend,NA,0.5,0.75,NA,NA
170,2018,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForTrend_Wild,LongTrend,NA,0.5,0.75,NA,NA
171,2010,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForTrend_Wild,PercChange,-53.9301,-25,-15,-53.9301,Red
172,2011,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForTrend_Wild,PercChange,-55.0824,-25,-15,-55.0824,Red
173,2012,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForTrend_Wild,PercChange,-52.5663,-25,-15,-52.5663,Red
174,2014,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForTrend_Wild,PercChange,-58.7916,-25,-15,-58.7916,Red
175,2016,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForTrend_Wild,PercChange,-65.2631,-25,-15,-65.2631,Red
176,2017,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForTrend_Wild,PercChange,-64.9594,-25,-15,-64.9594,Red
177,2018,CK-05,Chinook,Lower Fraser River-Upper Pitt_SU_1.3,SpnForTrend_Wild,PercChange,-62.6744,-25,-15,-62.6744,Red
178,2010,CK-06,Chinook,Lower Fraser River_SU_1.3,SpnForAbd_Wild,RelUBM,54.26908361,NA,NA,NA,NA
179,2011,CK-06,Chinook,Lower Fraser River_SU_1.3,SpnForAbd_Wild,RelUBM,49.97446301,NA,NA,NA,NA
180,2012,CK-06,Chinook,Lower Fraser River_SU_1.3,SpnForAbd_Wild,RelUBM,53.14942617,NA,NA,NA,NA
181,2013,CK-06,Chinook,Lower Fraser River_SU_1.3,SpnForAbd_Wild,RelUBM,67.26688339,NA,NA,NA,NA
182,2014,CK-06,Chinook,Lower Fraser River_SU_1.3,SpnForAbd_Wild,RelUBM,62.15358148,NA,NA,NA,NA
