"CU_Name","Year","Pop_Name","SpnForTrend_Total","Pop_ID","SpnForTrend_Wild","SpnForAbd_Total","SpnForAbd_Wild","Recruits_Total","Recruits_Wild","CU_ID","DU_ID"
"South Thompson",2012,"Shuswap R (lwr)",228,46431,NA,228,NA,NA,NA,"CO_05",NA
"South Thompson",2012,"Shuswap R (mid)",654,46441,NA,654,NA,NA,NA,"CO_05",NA
"South Thompson",2012,"Sinmax Cr",137.8666667,46260,NA,137.8666667,NA,NA,NA,"CO_05",NA
"South Thompson",2012,"South Pass Cr",18,46380,NA,18,NA,NA,NA,"CO_05",NA
"South Thompson",2012,"Tappen Cr",0,46391,NA,0,NA,NA,NA,"CO_05",NA
"South Thompson",2012,"Trinity Cr",13,46481,NA,13,NA,NA,NA,"CO_05",NA
"South Thompson",2012,"Wap Cr",2898.2,46521,NA,2898.2,NA,NA,NA,"CO_05",NA
"South Thompson",2012,"Wright Cr",0,3217,NA,0,NA,NA,NA,"CO_05",NA
"South Thompson",2012,"Yard Cr",26.53333333,7476,NA,26.53333333,NA,NA,NA,"CO_05",NA
"South Thompson",2013,"Adams R (upr)",2130,46250,NA,2130,NA,NA,NA,"CO_05",NA
"South Thompson",2013,"Anstey R",4.970618641,46350,NA,4.970618641,NA,NA,NA,"CO_05",NA
"South Thompson",2013,"Bessette Cr",97.8,46542,NA,97.8,NA,NA,NA,"CO_05",NA
"South Thompson",2013,"Blurton Cr",7,46461,NA,7,NA,NA,NA,"CO_05",NA
"South Thompson",2013,"Canoe Cr",0,46421,NA,0,NA,NA,NA,"CO_05",NA
"South Thompson",2013,"Cayenne Cr",8.666666667,46280,NA,8.666666667,NA,NA,NA,"CO_05",NA
"South Thompson",2013,"Celista Cr",32.2,46320,NA,32.2,NA,NA,NA,"CO_05",NA
"South Thompson",2013,"Crazy Cr",0,806,NA,0,NA,NA,NA,"CO_05",NA
"South Thompson",2013,"Creighton Cr",48.66666667,46552,NA,48.66666667,NA,NA,NA,"CO_05",NA
"South Thompson",2013,"Danforth Cr (kingfisher Cr)",168,46501,NA,168,NA,NA,NA,"CO_05",NA
"South Thompson",2013,"Duteau Cr",362,46562,NA,362,NA,NA,NA,"CO_05",NA
"South Thompson",2013,"Eagle R",2374,46360,NA,2374,NA,NA,NA,"CO_05",NA
"South Thompson",2013,"Harbour Cr",95.86666667,3069,NA,95.86666667,NA,NA,NA,"CO_05",NA
"South Thompson",2013,"Harris Cr",292.3333333,46572,NA,292.3333333,NA,NA,NA,"CO_05",NA
"South Thompson",2013,"Hiuihill Cr",12.93333333,132,NA,12.93333333,NA,NA,NA,"CO_05",NA
"South Thompson",2013,"Hunakwa Cr",76,46340,NA,76,NA,NA,NA,"CO_05",NA
"South Thompson",2013,"Ireland Cr",54,46532,NA,54,NA,NA,NA,"CO_05",NA
"South Thompson",2013,"Johnson Cr",7,46451,NA,7,NA,NA,NA,"CO_05",NA
"South Thompson",2013,"Mcnomee Cr",55.53333333,45016,NA,55.53333333,NA,NA,NA,"CO_05",NA
"South Thompson",2013,"Momich R",34.79433049,46270,NA,34.79433049,NA,NA,NA,"CO_05",NA
"South Thompson",2013,"Nikwikwaia Cr",8.933333333,3071,NA,8.933333333,NA,NA,NA,"CO_05",NA
"South Thompson",2013,"Onyx Cr",8.4,46300,NA,8.4,NA,NA,NA,"CO_05",NA
"South Thompson",2013,"Owlhead Cr",0,46370,NA,0,NA,NA,NA,"CO_05",NA
"South Thompson",2013,"Perry R",8.333333333,133,NA,8.333333333,NA,NA,NA,"CO_05",NA
"South Thompson",2013,"Salmon R",4153.2,46401,NA,4153.2,NA,NA,NA,"CO_05",NA
"South Thompson",2013,"Scotch Cr",16.4,46290,NA,16.4,NA,NA,NA,"CO_05",NA
"South Thompson",2013,"Senn Cr",50.4,3074,NA,50.4,NA,NA,NA,"CO_05",NA
"South Thompson",2013,"Seymour R",32.26666667,46330,NA,32.26666667,NA,NA,NA,"CO_05",NA
"South Thompson",2013,"Shuswap R (lwr)",567,46431,NA,567,NA,NA,NA,"CO_05",NA
"South Thompson",2013,"Shuswap R (mid)",1617,46441,NA,1617,NA,NA,NA,"CO_05",NA
"South Thompson",2013,"Sinmax Cr",27.8,46260,NA,27.8,NA,NA,NA,"CO_05",NA
"South Thompson",2013,"South Pass Cr",24,46380,NA,24,NA,NA,NA,"CO_05",NA
"South Thompson",2013,"Tappen Cr",17.13333333,46391,NA,17.13333333,NA,NA,NA,"CO_05",NA
"South Thompson",2013,"Trinity Cr",13,46481,NA,13,NA,NA,NA,"CO_05",NA
"South Thompson",2013,"Wap Cr",721,46521,NA,721,NA,NA,NA,"CO_05",NA
"South Thompson",2013,"Wright Cr",0,3217,NA,0,NA,NA,NA,"CO_05",NA
"South Thompson",2013,"Yard Cr",4.970618641,7476,NA,4.970618641,NA,NA,NA,"CO_05",NA
"South Thompson",2014,"Adams R (upr)",252,46250,NA,252,NA,NA,NA,"CO_05",NA
"South Thompson",2014,"Anstey R",0,46350,NA,0,NA,NA,NA,"CO_05",NA
"South Thompson",2014,"Bessette Cr",17.07498144,46542,NA,17.07498144,NA,NA,NA,"CO_05",NA
"South Thompson",2014,"Blurton Cr",1.2,46461,NA,1.2,NA,NA,NA,"CO_05",NA
"South Thompson",2014,"Canoe Cr",0,46421,NA,0,NA,NA,NA,"CO_05",NA
"South Thompson",2014,"Cayenne Cr",5.759261223,46280,NA,5.759261223,NA,NA,NA,"CO_05",NA
"South Thompson",2014,"Celista Cr",25.16703786,46320,NA,25.16703786,NA,NA,NA,"CO_05",NA
"South Thompson",2014,"Crazy Cr",0,806,NA,0,NA,NA,NA,"CO_05",NA
"South Thompson",2014,"Creighton Cr",34.55556734,46552,NA,34.55556734,NA,NA,NA,"CO_05",NA
"South Thompson",2014,"Danforth Cr (kingfisher Cr)",14.39815306,46501,NA,14.39815306,NA,NA,NA,"CO_05",NA
"South Thompson",2014,"Duteau Cr",75.6,46562,NA,75.6,NA,NA,NA,"CO_05",NA
"South Thompson",2014,"Eagle R",689,46360,NA,689,NA,NA,NA,"CO_05",NA
"South Thompson",2014,"Harbour Cr",65.47884187,3069,NA,65.47884187,NA,NA,NA,"CO_05",NA
"South Thompson",2014,"Harris Cr",63.25167038,46572,NA,63.25167038,NA,NA,NA,"CO_05",NA
"South Thompson",2014,"Hiuihill Cr",31.67593673,132,NA,31.67593673,NA,NA,NA,"CO_05",NA
"South Thompson",2014,"Hunakwa Cr",28.79630612,46340,NA,28.79630612,NA,NA,NA,"CO_05",NA
"South Thompson",2014,"Ireland Cr",9.5,46532,NA,9.5,NA,NA,NA,"CO_05",NA
"South Thompson",2014,"Johnson Cr",1.2,46451,NA,1.2,NA,NA,NA,"CO_05",NA
"South Thompson",2014,"Mcnomee Cr",13.8827023,45016,NA,13.8827023,NA,NA,NA,"CO_05",NA
"South Thompson",2014,"Momich R",9.057164068,46270,NA,9.057164068,NA,NA,NA,"CO_05",NA
"South Thompson",2014,"Nikwikwaia Cr",2.879630612,3071,NA,2.879630612,NA,NA,NA,"CO_05",NA
"South Thompson",2014,"Onyx Cr",2.879630612,46300,NA,2.879630612,NA,NA,NA,"CO_05",NA
"South Thompson",2014,"Owlhead Cr",5.759261223,46370,NA,5.759261223,NA,NA,NA,"CO_05",NA
"South Thompson",2014,"Perry R",2.5,133,NA,2.5,NA,NA,NA,"CO_05",NA
"South Thompson",2014,"Salmon R",539.7592612,46401,NA,539.7592612,NA,NA,NA,"CO_05",NA
"South Thompson",2014,"Scotch Cr",53.89755011,46290,NA,53.89755011,NA,NA,NA,"CO_05",NA
"South Thompson",2014,"Senn Cr",42.22222222,3074,NA,42.22222222,NA,NA,NA,"CO_05",NA
"South Thompson",2014,"Seymour R",14.6,46330,NA,14.6,NA,NA,NA,"CO_05",NA
"South Thompson",2014,"Shuswap R (lwr)",81,46431,NA,81,NA,NA,NA,"CO_05",NA
"South Thompson",2014,"Shuswap R (mid)",111,46441,NA,111,NA,NA,NA,"CO_05",NA
"South Thompson",2014,"Sinmax Cr",33.92724573,46260,NA,33.92724573,NA,NA,NA,"CO_05",NA
"South Thompson",2014,"South Pass Cr",0,46380,NA,0,NA,NA,NA,"CO_05",NA
