"Year","Watershed.Group.Name","Pop_Name","Timing.Group","CU_Name","SpnForTrend_Total","adults","eff_fem","EstClass","SpnForTrend_Wild","SpnForAbd_Wild","SpnForAbd_Total","Recruits_Total","Recruits_Wild","Pop_ID","MapPOP_ID","CU_ID","CU_Name.Check","DU_ID","CU_ID_Alt2_CULookup"
1938,"Late South Thompson","Eagle River","t4","Shuswap Complex - Late",0,0,0,"RELATIVE ABUNDANCE (TYPE-4)",0,0,0,NA,NA,46359,46359,"L-09-03","SHUSWAP COMPLEX-LATE TIMING",NA,"SEL-09-03"
1938,"Late South Thompson","Hunakwa Creek","t4","Shuswap Complex - Late",0,0,0,"",0,0,0,NA,NA,46339,46339,"L-09-03","SHUSWAP COMPLEX-LATE TIMING",NA,"SEL-09-03"
1938,"Late South Thompson","Little River","t4","Shuswap Complex - Late",175000,174506,59355,"",175000,175000,175000,NA,NA,46228,46228,"L-09-03","SHUSWAP COMPLEX-LATE TIMING",NA,"SEL-09-03"
1938,"Late South Thompson","Lower Shuswap River","t4","Shuswap Complex - Late",0,0,0,"",0,0,0,NA,NA,46429,46429,"L-09-03","SHUSWAP COMPLEX-LATE TIMING",NA,"SEL-09-03"
1938,"Late South Thompson","Middle Shuswap River","t4","Shuswap Complex - Late",0,0,0,"",0,0,0,NA,NA,46440,46440,"L-09-03","SHUSWAP COMPLEX-LATE TIMING",NA,"SEL-09-03"
1938,"Late South Thompson","Momich River","t4","Shuswap Complex - Late",0,0,0,"",0,0,0,NA,NA,46269,46269,"L-09-03","SHUSWAP COMPLEX-LATE TIMING",NA,"SEL-09-03"
1938,"Late South Thompson","Salmon River","t4","Shuswap Complex - Late",0,0,0,"",0,0,0,NA,NA,46400,46400,"L-09-03","SHUSWAP COMPLEX-LATE TIMING",NA,"SEL-09-03"
1938,"Late South Thompson","Scotch Creek","t4","Shuswap Complex - Late",2039,2005,490,"RELATIVE ABUNDANCE (TYPE-4)",2039,2039,2039,NA,NA,46289,46289,"L-09-03","SHUSWAP COMPLEX-LATE TIMING",NA,"SEL-09-03"
1938,"Late South Thompson","Seymour River","t4","Shuswap Complex - Late",0,0,0,"",0,0,0,NA,NA,46329,46329,"L-09-03","SHUSWAP COMPLEX-LATE TIMING",NA,"SEL-09-03"
1938,"Late South Thompson","Shuswap Lake","t4","Shuswap Complex - Late",1130,1127,443,"RELATIVE ABUNDANCE (TYPE-4)",1130,1130,1130,NA,NA,45764,45764,"L-09-03","SHUSWAP COMPLEX-LATE TIMING",NA,"SEL-09-03"
1938,"Late South Thompson","Sinmax Creek","t4","Shuswap Complex - Late",0,0,0,"",0,0,0,NA,NA,46259,46259,"L-09-03","SHUSWAP COMPLEX-LATE TIMING",NA,"SEL-09-03"
1938,"Late South Thompson","South Thompson River","t4","Shuswap Complex - Late",0,0,0,"",0,0,0,NA,NA,46218,46218,"L-09-03","SHUSWAP COMPLEX-LATE TIMING",NA,"SEL-09-03"
1938,"Late Stuart","Kazchek Creek","t3","Takla-Trembleur-Stuart - Summer",0,0,0,"RELATIVE ABUNDANCE (TYPE-4)",0,0,0,NA,NA,45560,45560,"L-06-13","TAKLA/TREMBLEUR/STUART-SUMMER TIMING",NA,"SEL-06-13"
