"CU_ID","Year","Value"
"CK-31",2008,228.162913947925
"CK-31",2009,196.570506766448
"CK-31",2010,185.752837770761
"CK-31",2011,184.907844653705
"CK-31",2012,206.757815781322
"CK-31",2013,301.548279940666
"CK-31",2014,313.544854162567
"CK-31",2015,461.112487888985
"CK-31",2016,512.341955303306
"CK-31",2017,555.85685760455
"CK-31",2018,674.803872936173
"CK-31",2019,585.10657289639
"CK-31",2020,572.224335048777
"CK-31",2021,503.823336361893
"CK-31",2022,413.475691585372
"CK-32",1995,NA
"CK-32",1996,NA
"CK-32",1997,NA
"CK-32",1998,1289.80701773911
"CK-32",1999,1453.72129411987
"CK-32",2000,1364.533712617
"CK-32",2001,1209.76248093757
"CK-32",2002,842.233866809865
"CK-32",2003,750.081353873249
"CK-32",2004,912.38228795926
"CK-32",2005,918.993144715457
"CK-32",2006,999.641507270512
"CK-32",2007,840.773449228068
"CK-32",2008,762.144108941394
"CK-32",2009,707.782546471225
"CK-32",2010,663.83227954804
"CK-32",2011,707.22566475171
"CK-32",2012,647.489994543975
"CK-32",2013,733.358858908272
"CK-32",2014,803.354379540618
"CK-32",2015,1049.72363739477
"CK-32",2016,1237.41588656808
"CK-32",2017,1550.82956248753
"CK-32",2018,1849.40812977359
"CK-32",2019,1729.81923207884
"CK-32",2020,1760.34966234094
"CK-32",2021,1649.86269943941
"CK-32",2022,1756.15044833369
"CK-33",1995,NA
"CK-33",1996,NA
"CK-33",1997,NA
"CK-33",1998,NA
"CK-33",1999,4851.33296691259
"CK-33",2000,4399.70183376851
"CK-33",2001,4102.27219256698
"CK-33",2002,3495.95763173576
"CK-33",2003,2920.38012313873
"CK-33",2004,3330.07283848589
"CK-33",2005,3586.22128058499
"CK-33",2006,3770.67152621638
"CK-33",2007,3947.71775938146
"CK-33",2008,2937.74156177545
"CK-33",2009,3368.83379856136
"CK-33",2010,3494.33223225888
"CK-33",2011,3546.89089590096
"CK-33",2012,3981.28530028581
"CK-33",2013,2519.71527887646
"CK-33",2014,1991.76656886749
"CK-33",2015,2443.6224618275
"CK-33",2016,2302.42071718513
"CK-33",2017,3938.48433817841
"CK-33",2018,3503.14675968893
"CK-33",2019,3311.81722636165
"CK-33",2020,3049.65045270328
"CK-33",2021,2394.67608661541
"CK-33",2022,2905.83180333848
"CK-82",1995,NA
"CK-82",1996,NA
"CK-82",1997,NA
"CK-82",1998,NA
"CK-82",1999,NA
"CK-82",2000,NA
"CK-82",2001,NA
"CK-82",2002,NA
"CK-82",2003,81.8510332058335
"CK-82",2004,96.0423552551228
"CK-82",2005,NA
"CK-82",2006,NA
"CK-82",2007,NA
"CK-82",2008,NA
"CK-82",2009,NA
"CK-82",2010,73.9078521692362
"CK-82",2011,62.2606141921667
"CK-82",2012,85.3811005195155
"CK-82",2013,NA
"CK-82",2014,NA
"CK-82",2015,NA
"CK-82",2016,NA
"CK-82",2017,NA
"CK-82",2018,NA
"CK-82",2019,NA
"CK-82",2020,NA
"CK-82",2021,NA
"CK-82",2022,NA
"CK-01",1995,NA
"CK-01",1996,NA
"CK-01",1997,NA
"CK-01",1998,NA
"CK-01",1999,NA
"CK-01",2000,NA
"CK-01",2001,NA
"CK-01",2002,NA
"CK-01",2003,NA
"CK-01",2004,NA
"CK-01",2005,NA
"CK-01",2006,NA
"CK-01",2007,NA
"CK-01",2008,NA
"CK-01",2009,11.1119167457077
"CK-01",2010,6.93270938109998
"CK-01",2011,8.6544747526523
"CK-01",2012,8.45069726622771
"CK-01",2013,13.1332358201094
"CK-01",2014,22.8727666534054
"CK-01",2015,30.8143829670097
"CK-01",2016,43.0228696704009
"CK-01",2017,47.2688359959514
"CK-01",2018,31.4373606463772
"CK-01",2019,22.2295708956604
"CK-01",2020,26.1707335204165
"CK-01",2021,28.6255649324776
"CK-01",2022,36.193067934062
"CO-05",1995,NA
"CO-05",1996,NA
"CO-05",1997,NA
"CO-05",1998,NA
"CO-05",1999,NA
"CO-05",2000,3713.50759178414
"CO-05",2001,4873.75407342978
"CO-05",2002,6963.75215167765
"CO-05",2003,6914.13265351135
"CO-05",2004,7585.73713240622
"CO-05",2005,4564.84010302468
"CO-05",2006,3910.22885742551
"CO-05",2007,3574.40091025599
"CO-05",2008,5280.62253525984
"CO-05",2009,6453.7539496923
"CO-05",2010,5775.23645302344
"CO-05",2011,4838.36362662954
"CO-05",2012,7331.94924767445
"CO-05",2013,8229.32376205964
"CO-05",2014,6677.09315225309
"CO-05",2015,3536.06179009381
"CO-05",2016,3755.36012910052
"CO-05",2017,3927.03001838955
"CO-05",2018,5614.64229987298
"CO-05",2019,4591.57820881707
"CO-05",2020,8285.69865117548
"CO-05",2021,12148.0214007943
"CO-05",2022,13338.402158786
"PKO-01",1995,7174584.00000001
"PKO-01",1997,2842108
"PKO-01",1999,3444982
"PKO-01",2001,19813620
"PKO-01",2003,22181030
"PKO-01",2005,8809624
"PKO-01",2007,7650051.99999999
"PKO-01",2009,15428836
"PKO-01",2011,12784507.74
"PKO-01",2013,9344490.07800001
"PKO-01",2015,5315845
"PKO-01",2017,3392159
"PKO-01",2019,8307419.479
"PKO-01",2021,7827444.56800001
"PKO-01",2023,9575759.99999999
"CM-02",1995,NA
"CM-02",1996,NA
"CM-02",1997,NA
"CM-02",1998,NA
"CM-02",1999,NA
"CM-02",2000,NA
"CM-02",2001,NA
"CM-02",2002,NA
"CM-02",2003,NA
"CM-02",2004,NA
"CM-02",2005,1591272.44819364
"CM-02",2006,1531859.1745601
"CM-02",2007,1397193.71232678
"CM-02",2008,1083913.99185427
"CM-02",2009,835979.365871752
"CM-02",2010,620107.626885949
"CM-02",2011,616772.732859545
"CM-02",2012,678980.134786537
"CM-02",2013,819508.33302912
"CM-02",2014,967577.534235596
"CM-02",2015,939043.230325393
"CM-02",2016,1024480.50209249
"CM-02",2017,940721.844530156
"CM-02",2018,841146.919341077
"CM-02",2019,639262.924277177
"CM-02",2020,471046.252561571
"CM-02",2021,449957.730377029
"CM-02",2022,502648.967697493
"SEL-20-01",1995,18127.8456754193
"SEL-20-01",1996,18597.2898947615
"SEL-20-01",1997,20168.2359108913
"SEL-20-01",1998,21032.1662764398
"SEL-20-01",1999,17373.5807424691
"SEL-20-01",2000,15892.4858795952
"SEL-20-01",2001,14829.1636925129
"SEL-20-01",2002,10318.5996850891
"SEL-20-01",2003,12981.6466960466
"SEL-20-01",2004,16033.24589742
"SEL-20-01",2005,16348.8856366503
"SEL-20-01",2006,14688.0248670778
"SEL-20-01",2007,22304.1649431285
"SEL-20-01",2008,9657.77073258279
"SEL-20-01",2009,10925.277023778
"SEL-20-01",2010,15603.1861048459
"SEL-20-01",2011,20438.7243950187
"SEL-20-01",2012,20590.1558533152
"SEL-20-01",2013,40909.7811842545
"SEL-20-01",2014,33937.17384996
"SEL-20-01",2015,26645.8870816997
"SEL-20-01",2016,28913.7363490696
"SEL-20-01",2017,23840.2854129814
"SEL-20-01",2018,15263.5815597909
"SEL-20-01",2019,12520.0189981333
"SEL-20-01",2020,6012.70084042816
"SEL-20-01",2021,4312.68724276515
"SEL-20-01",2022,4792.37895902262
"SEL-22-01",1995,NA
"SEL-22-01",1996,NA
"SEL-22-01",1997,NA
"SEL-22-01",1998,NA
"SEL-22-01",1999,NA
"SEL-22-01",2000,NA
"SEL-22-01",2001,NA
"SEL-22-01",2002,NA
"SEL-22-01",2003,777.543515696864
"SEL-22-01",2004,858.683404959644
"SEL-22-01",2005,756.024246535678
"SEL-22-01",2006,451.043787226952
"SEL-22-01",2007,345.159213727511
"SEL-22-01",2008,212.769295502364
"SEL-22-01",2009,219.548033248279
"SEL-22-01",2010,301.812319296665
"SEL-22-01",2011,523.432791084998
"SEL-22-01",2012,825.683932211232
"SEL-22-01",2013,1173.10120524088
"SEL-22-01",2014,1689.22929110484
"SEL-22-01",2015,1675.24801690313
"SEL-22-01",2016,1610.67796364559
"SEL-22-01",2017,1045.23381590453
"SEL-22-01",2018,1205.80494598212
"SEL-22-01",2019,930.026080965194
"SEL-22-01",2020,573.384646640454
"SEL-22-01",2021,606.013468364123
"SEL-22-01",2022,644.554934566853
"SEL-21-2-1",1995,40004.0568359772
"SEL-21-2-1",1996,40298.0349433084
"SEL-21-2-1",1997,45131.0157241438
"SEL-21-2-1",1998,54596.9758098218
"SEL-21-2-1",1999,65760.7784043189
"SEL-21-2-1",2000,66547.0244414851
"SEL-21-2-1",2001,87014.276891868
"SEL-21-2-1",2002,69190.5233978591
"SEL-21-2-1",2003,72645.2464288054
"SEL-21-2-1",2004,66040.6956496798
"SEL-21-2-1",2005,51815.1891641959
"SEL-21-2-1",2006,36588.8467698853
"SEL-21-2-1",2007,41165.4934376638
"SEL-21-2-1",2008,36132.1550891034
"SEL-21-2-1",2009,31683.7399678253
"SEL-21-2-1",2010,30403.1323838772
"SEL-21-2-1",2011,33320.0007394253
"SEL-21-2-1",2012,34286.0607420317
"SEL-21-2-1",2013,27048.0812300547
"SEL-21-2-1",2014,27000.116525122
"SEL-21-2-1",2015,32569.1133076444
"SEL-21-2-1",2016,29823.8346672367
"SEL-21-2-1",2017,25530.7666229367
"SEL-21-2-1",2018,27124.6337571675
"SEL-21-2-1",2019,21905.0338300961
"SEL-21-2-1",2020,16911.4503656044
"SEL-21-2-1",2021,15472.0190496415
"SEL-21-2-1",2022,16112.8135172071
"SEL-21-2-3",1995,267922.411613637
"SEL-21-2-3",1996,214806.722902332
"SEL-21-2-3",1997,159110.460428993
"SEL-21-2-3",1998,110886.661485861
"SEL-21-2-3",1999,114460.651339678
"SEL-21-2-3",2000,139217.986436639
"SEL-21-2-3",2001,186447.369095729
"SEL-21-2-3",2002,186662.509605275
"SEL-21-2-3",2003,187195.044031284
"SEL-21-2-3",2004,205838.402783987
"SEL-21-2-3",2005,200731.272818816
"SEL-21-2-3",2006,148683.711403268
"SEL-21-2-3",2007,141140.018491084
"SEL-21-2-3",2008,139353.578767075
"SEL-21-2-3",2009,114611.93030016
"SEL-21-2-3",2010,97879.4320265433
"SEL-21-2-3",2011,99969.3503744172
"SEL-21-2-3",2012,102145.594878796
"SEL-21-2-3",2013,86083.0699732644
"SEL-21-2-3",2014,92419.3910200812
"SEL-21-2-3",2015,104978.261450262
"SEL-21-2-3",2016,106539.170801475
"SEL-21-2-3",2017,100717.80686289
"SEL-21-2-3",2018,138165.462079325
"SEL-21-2-3",2019,126455.948579851
"SEL-21-2-3",2020,101962.456012301
"SEL-21-2-3",2021,73360.5603419323
"SEL-21-2-3",2022,62571.6346925826
"SEL-21-2-2",1995,11803.2060531996
"SEL-21-2-2",1996,9393.55840199747
"SEL-21-2-2",1997,12464.3160553717
"SEL-21-2-2",1998,11777.8630983668
"SEL-21-2-2",1999,14706.2979144703
"SEL-21-2-2",2000,18378.7738600901
"SEL-21-2-2",2001,26295.8008912272
"SEL-21-2-2",2002,24547.7205539905
"SEL-21-2-2",2003,33904.0407557378
"SEL-21-2-2",2004,39892.2002504476
"SEL-21-2-2",2005,43658.291374886
"SEL-21-2-2",2006,33391.1340394415
"SEL-21-2-2",2007,29213.4113943338
"SEL-21-2-2",2008,20075.658179414
"SEL-21-2-2",2009,16314.6402313758
"SEL-21-2-2",2010,11744.7206619485
"SEL-21-2-2",2011,15040.9762436352
"SEL-21-2-2",2012,21896.0324829031
"SEL-21-2-2",2013,19929.0327268675
"SEL-21-2-2",2014,19066.480735114
"SEL-21-2-2",2015,30955.359532227
"SEL-21-2-2",2016,30424.7104523442
"SEL-21-2-2",2017,23170.1429247791
"SEL-21-2-2",2018,18692.8530021078
"SEL-21-2-2",2019,17470.1853838127
"SEL-21-2-2",2020,17111.8848722119
"SEL-21-2-2",2021,11386.2422168792
"SEL-21-2-2",2022,10948.9267324186
"SEL-22-03",1995,6905.79696091843
"SEL-22-03",1996,6734.01017897372
"SEL-22-03",1997,6358.35624505858
"SEL-22-03",1998,5921.8855594198
"SEL-22-03",1999,6125.41964175585
"SEL-22-03",2000,4940.65409479825
"SEL-22-03",2001,5451.75198552085
