"","Year","Horsefly Channel","Horsefly River","Horsefly River - Above Falls","Horsefly River, lower","Horsefly River, upper","McKinley Creek","McKinley Creek, lower","McKinley Creek, upper","Cameron Creek","Mitchell River","Penfold Creek","CU_Data[, !is.na(match(colnames(CU_Data), levels(as.factor(CU_Q$Quesnel_S_Little))))]","Baxter Beach","Bear Beach - Shore","Betty Frank's - Shore","Big Slide - Shore","Big Slide, 1 km. West - shore","Bill Miner Cr. - Shore","Bill Miner Cr. - Shore 3 km west","Blue Lead Cr. - Shore","Bouldery Cr. - Shore","Bouldery Cr. - Shore 2 km east","Bowling Point","Deception Point","Devoe Creek - Shore","Double T - Shore","East Arm - unnamed creek 1","East Arm - unnamed creek 2 - shore","East Arm - unnamed point","Elysia - Shore","Elysia shore - 1 km west","Franks Creek - shore","Goose Point - Shore","Goose Pt., .8 km south - shore","Goose Pt., 5 km south - shore","Grain Cr. - Shore","Horsefly Lake","Hurricane Point","Junction Shore","Killdog Creek - Shore","Lester Shore","Limestone Point - Shore","Limestone Pt, .5 km south - shore","Logger Landing","Long Cr. - Shore","Lynx Cr. - Shore","Marten Cr. - Shore","North Arm - shore, Bowling to Goose Pt.","North Arm - shore, Roaring to Deception Pt.","North Arm - unnamed cove","Opa Beach","Penfold Camp Shore","Quartz Point","Quesnel Lake","Roaring Point","Roaring R. - Shore","Slate Bay","Slate Bay, 1 km east","Tasse Creek - shore","Wasko Creek - shore","Watt Cr. - Shore"
"31",1980,NA,82,NA,NA,NA,16,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",1981,NA,NA,NA,50650,236444,NA,0,6284,1676,34478,NA,1,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",1982,NA,NA,NA,1228,13949,NA,2918,41,0,1899,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",1983,NA,NA,NA,0,1018,NA,20,NA,NA,60,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",1984,NA,NA,NA,0,509,30,NA,NA,NA,12,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",1985,NA,NA,18007,133507,374009,NA,45567,8690,1081,98868,109,8929,NA,NA,NA,NA,NA,NA,NA,2683,NA,NA,0,203,NA,NA,NA,NA,NA,NA,NA,NA,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",1986,NA,NA,NA,8221,67754,NA,2217,347,NA,16110,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",1987,NA,NA,NA,532,8432,NA,37,0,NA,2237,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",1988,NA,NA,NA,32,3381,NA,91,0,0,662,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
"40",1989,11670,NA,NA,376481,355422,NA,61180,2466,2927,116248,260,NA,NA,NA,260,NA,NA,NA,NA,2354,NA,NA,NA,747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,NA,NA,4,NA,NA,NA,NA,18,83,NA,NA,NA,NA,NA,NA,NA,101,NA,6,NA,NA,NA,NA,1256
