"Year","15 Mile Creek","25 Mile Creek","Ankwill Creek","Baptiste Creek","Bates Creek","Bivouac Creek","Blackwater Creek","Blanchet Creek","Blanchet North Creek","Casamir Creek","Consolidated Creek","Crow Creek","Driftwood River","Dust Creek","Fleming Creek","Forfar Creek","French Creek","Frypan Creek","Gluske Creek","Hooker Creek","Hudson Bay Creek","Kastberg Creek","Kazchek Creek","Kotsine River","Leo Creek","Lion Creek","Lovell Creek","Maclaing Creek","McDougall Creek","Middle River (Rossette Bar)","Narrows Creek","O'Ne-ell Creek","Paula Creek","Point Creek","Porter Creek","Sakeniche River","Sandpoint Creek","Shale Creek","Sidney Creek","Sinta Creek","Takla Lake - shore","Tildesley Creek","Tliti Creek","Tliti Creek (10 Mile)","Van Decar Creek","ETS"
2000,461,607.509,993.5856,NA,26.6656,1550.8398,602.0432,305,NA,NA,NA,683.943,885.1252,5433.3648,10351.2864,7254.9792,150,1679.7924,4572.9392,246.1008,625.9272,0,334.2465,0,0,955.416,468.293,886.2852,166.991,3.584,4081.5528,10799.393,5097.8578,487.4805,877.2552,849.224,1740.9752,909.633,8105.872,810.9024,NA,0,0,NA,6818.9184,79823.9814
2001,479.7,766.32,4005,NA,314.86,3298.374,716.0785,228.7192,3.6864,NA,NA,2277.625,8678.3718,21678.7956,5925.1176,12839.451,580.3836,3857.4039,10745.609,240.0124,502.08,0,1104.147,225.4464,633.5848,2023.8759,2034.4832,1454.388,16.5764,11.5115,8765.4638,14492.574,11976.789,732.8965,3782.16,776.002,4064.2947,1184.8665,15915.7134,2574.3627,NA,2178.4077,11.9808,NA,7378.8715,158475.9838
2002,59.9168,30.9248,862.9952,NA,0,109.4828,13.5296,83.1104,NA,NA,NA,405.0368,3498.1066,2367.7172,396.757,1970.072,0,423.2832,2299.5883,20.2944,144.96,0,123.6992,345.9712,10.6304,427,423.2832,229.0368,0,371.7504,1217.958,2352.2079,673.032,232,755.7862,311.1808,210,345.9712,2172.4865,156.5568,NA,136.4457,0,NA,586.6686,23767.44
2003,0,0,238.8015,NA,0,82,0,0,NA,NA,NA,37.0386,309.9546,392.2555,182.252,2285.5183,0,72.1278,1565.2818,0,0,0,68.229,0,0,0,0,9.747,0,0,293,3918.84,574.8,2.9241,93.625,40.9374,68.229,145.2303,1293.593,0,NA,9.905,0,NA,1039.9104,12724.2003
2004,3.932,0,137.62,NA,0,115,14.745,0,NA,NA,NA,133.688,289.985,359.5366,78.9426,1207.614,0,85.521,1192.7131,0,24,0,0,0,162.4935,12.779,0,14.745,3.932,NA,300,1907.419,455,0,73.725,0,203,51.116,1370.2876,169,NA,96.4854,0,NA,609.294,9072.5738
2005,443.9157,8.9379,1930,NA,0,1916.1829,751,115.1996,16.8827,NA,NA,1275.5944,9806.8733,13714.2535,498.3,5442.188,539,1413.6042,3957,400,840,0,207,525.2441,1207.783,1267.9333,1183,1691.5696,850.0355,40.5777,4667.8786,11628.4989,5815.7611,847,3452.3133,366,2427.655,1086,8582.7192,2233.2562,NA,904.9128,24,NA,5508.6702,97586.7407
2006,138,0,1551.0383,NA,0,95.0872,66.6636,60,0,NA,NA,44,4427.0703,747.4272,378.8344,3653.0141,0,1208.1866,2494.7175,0,45.75,0,139,435,8.99,470.0813,28.7552,78,0,8.699,1638.1812,4462.5056,1171.044,251.7627,1171.9758,390.642,0,257,4421.8048,12.586,NA,0,0,NA,2163.4413,32019.2581
2007,0,0,23.2659,NA,0,49,1.7234,0,0,NA,NA,23,47.3935,45.6701,0,896.539,0,12.9255,464.8102,0,0,0,0,0,0,0,0,0,0,30.4752,100.5949,1574.628,114,0,40,0,61,6.8936,492.128,0,NA,0,0,NA,597.8944,4581.9417
2008,0,0,188.0928,NA,0,182.4815,0,0,0,NA,NA,334.106,340.9911,377.0196,338.9956,3186.1529,0,269.0772,2243.5476,0,0,0,0,0,13.9328,0,0,0,0,208.9584,585.9598,9405.2926,1148.5395,137.0355,246.8568,59.7132,308.3808,66.1808,4025.1359,0,51.3772,131.055,0,NA,2381.7388,26230.6214
2009,118.0185,0,1507.3134,NA,NA,1364.9008,5.7276,0,0,NA,NA,537.5808,6234.4926,2269.7856,410.0574,3405.78,0,1762.1916,2056.302,141.0048,36.2748,0,32.3748,178.5102,374.355,126.7511,686.4858,34.433,67.5648,0,2212.008,4301.3096,2679.0896,313.344,1209.4782,391.723,1071.1008,427.953,7025.391,240.8832,0,31.0944,0,NA,1741.5738,42994.8532
2010,221.3344,223.1712,3306.24,NA,0,49.5936,41.328,14.6944,0,NA,NA,94.5952,18215.5456,626.3488,119.392,3390.7328,0,1775.2672,0,39.4912,113.8816,0,78.064,3016.944,0,3.6736,760.4352,0,0,0,2070.992,9234.512,641.364,317.7664,2401.616,168.9856,0,342.5632,5176.9563,33.0624,0,0,0,NA,2882.8576,55361.4083
2011,1.6154,0,0,NA,0,0,0,0,0,NA,NA,0,9.6924,94.5009,0,105.001,0,5.6539,25.8464,0,0,0,0,0,0,0,0,0,0,0,57.3467,138.1167,38.7696,0,0,0,0,0,42.8081,0,0,0,0,NA,92.0778,611.4289
2012,16.454,0,23.8583,0,0,41.135,3.2908,0,0,NA,NA,74.8657,74.043,310.9806,29.1528,3787.368,0,43.6031,2185.9139,10.6951,16.454,0,63.1596,0,0,0,50.1847,0,0,0,275.476,5633.4024,855.2218,62.5252,115.178,1.6454,427,29.6172,2151.6386,0,0,38.0606,0,NA,3539.895,19860.8188
2013,229,101,3532.5628,92.169,NA,1008.3996,372.122,40,0,NA,NA,645.2592,15541.7186,5514.1118,657.286,6283.9471,38.943,2062.0152,2820.3386,222.8645,257.8747,0,18.62,406.738,205.813,177.407,1187.1678,660.6166,33.335,0,2189.6858,6256.5537,3367.6398,548.734,4163.4394,107.663,1117.2681,685.5656,10671.122,592.4156,NA,320.264,14.7118,NA,3193.0936,75337.4659
2014,343.1154,224.0873,1974.4641,NA,NA,0,279.6969,108.5616,0,NA,NA,76.1439,12089.5404,649.1079,40.0824,3994.6005,0,824.6338,2214.353,68.6049,318.2431,0,120.2416,1233.3804,0,0,1253.855,43.7262,0,0,1262.796,7558.1595,73.3086,362.48,2812.8009,9.0468,0,763.5264,4229.2206,0,NA,NA,0,NA,2526.6912,45454.4684
