"","CU_name","Return.Year","TribDeme","Estimate"
"200","Lower Thompson",1978,"Nicola R (DOT)",NA
"201","Lower Thompson",1978,"Nooaitch Cr",NA
"202","Lower Thompson",1978,"Quilchena Cr",NA
"203","Lower Thompson",1978,"Skuhun Cr",NA
"204","Lower Thompson",1978,"Spahomin Cr",NA
"205","Lower Thompson",1978,"Spius Cr",NA
"206","Lower Thompson",1978,"Thompson R",NA
"207","Lower Thompson",1978,"Tranquille R",NA
"208","Lower Thompson",1979,"Bonaparte R",NA
"209","Lower Thompson",1979,"Brook Cr",NA
"210","Lower Thompson",1979,"Clapperton Cr",NA
"211","Lower Thompson",1979,"Coldwater R",NA
"212","Lower Thompson",1979,"Deadman R",NA
"213","Lower Thompson",1979,"Guichon Cr",NA
"214","Lower Thompson",1979,"Juliet Cr",NA
"215","Lower Thompson",1979,"Kamloops Lake",NA
"216","Lower Thompson",1979,"Maka Cr",NA
"217","Lower Thompson",1979,"Nicola R (DAM)",NA
"218","Lower Thompson",1979,"Nicola R (DOT)",NA
"219","Lower Thompson",1979,"Nooaitch Cr",NA
"220","Lower Thompson",1979,"Quilchena Cr",NA
"221","Lower Thompson",1979,"Skuhun Cr",NA
"222","Lower Thompson",1979,"Spahomin Cr",NA
"223","Lower Thompson",1979,"Spius Cr",NA
"224","Lower Thompson",1979,"Thompson R",NA
"225","Lower Thompson",1979,"Tranquille R",NA
"226","Lower Thompson",1980,"Bonaparte R",NA
"227","Lower Thompson",1980,"Brook Cr",NA
"228","Lower Thompson",1980,"Clapperton Cr",NA
"229","Lower Thompson",1980,"Coldwater R",NA
"230","Lower Thompson",1980,"Deadman R",NA
"231","Lower Thompson",1980,"Guichon Cr",NA
"232","Lower Thompson",1980,"Juliet Cr",NA
"233","Lower Thompson",1980,"Kamloops Lake",NA
"234","Lower Thompson",1980,"Maka Cr",NA
"235","Lower Thompson",1980,"Nicola R (DAM)",NA
"236","Lower Thompson",1980,"Nicola R (DOT)",NA
"237","Lower Thompson",1980,"Nooaitch Cr",NA
"238","Lower Thompson",1980,"Quilchena Cr",NA
"239","Lower Thompson",1980,"Skuhun Cr",NA
"240","Lower Thompson",1980,"Spahomin Cr",NA
"241","Lower Thompson",1980,"Spius Cr",NA
"242","Lower Thompson",1980,"Thompson R",NA
"243","Lower Thompson",1980,"Tranquille R",NA
"244","Lower Thompson",1981,"Bonaparte R",NA
"245","Lower Thompson",1981,"Brook Cr",NA
"246","Lower Thompson",1981,"Clapperton Cr",NA
"247","Lower Thompson",1981,"Coldwater R",NA
"248","Lower Thompson",1981,"Deadman R",NA
"249","Lower Thompson",1981,"Guichon Cr",NA
"250","Lower Thompson",1981,"Juliet Cr",NA
"251","Lower Thompson",1981,"Kamloops Lake",NA
"252","Lower Thompson",1981,"Maka Cr",NA
"253","Lower Thompson",1981,"Nicola R (DAM)",NA
"254","Lower Thompson",1981,"Nicola R (DOT)",NA
"255","Lower Thompson",1981,"Nooaitch Cr",NA
"256","Lower Thompson",1981,"Quilchena Cr",NA
"257","Lower Thompson",1981,"Skuhun Cr",NA
"258","Lower Thompson",1981,"Spahomin Cr",NA
"259","Lower Thompson",1981,"Spius Cr",NA
"260","Lower Thompson",1981,"Thompson R",NA
"261","Lower Thompson",1981,"Tranquille R",NA
"262","Lower Thompson",1982,"Bonaparte R",NA
"263","Lower Thompson",1982,"Brook Cr",NA
"264","Lower Thompson",1982,"Clapperton Cr",NA
"265","Lower Thompson",1982,"Coldwater R",NA
"266","Lower Thompson",1982,"Deadman R",NA
"267","Lower Thompson",1982,"Guichon Cr",NA
"268","Lower Thompson",1982,"Juliet Cr",NA
"269","Lower Thompson",1982,"Kamloops Lake",NA
"270","Lower Thompson",1982,"Maka Cr",NA
"271","Lower Thompson",1982,"Nicola R (DAM)",NA
"272","Lower Thompson",1982,"Nicola R (DOT)",NA
"273","Lower Thompson",1982,"Nooaitch Cr",NA
"274","Lower Thompson",1982,"Quilchena Cr",NA
"275","Lower Thompson",1982,"Skuhun Cr",NA
"276","Lower Thompson",1982,"Spahomin Cr",NA
"277","Lower Thompson",1982,"Spius Cr",NA
"278","Lower Thompson",1982,"Thompson R",NA
"279","Lower Thompson",1982,"Tranquille R",NA
"280","Lower Thompson",1983,"Bonaparte R",NA
"281","Lower Thompson",1983,"Brook Cr",NA
"282","Lower Thompson",1983,"Clapperton Cr",NA
"283","Lower Thompson",1983,"Coldwater R",NA
"284","Lower Thompson",1983,"Deadman R",NA
"285","Lower Thompson",1983,"Guichon Cr",NA
"286","Lower Thompson",1983,"Juliet Cr",NA
"287","Lower Thompson",1983,"Kamloops Lake",NA
"288","Lower Thompson",1983,"Maka Cr",NA
"289","Lower Thompson",1983,"Nicola R (DAM)",NA
"290","Lower Thompson",1983,"Nicola R (DOT)",NA
"291","Lower Thompson",1983,"Nooaitch Cr",NA
"292","Lower Thompson",1983,"Quilchena Cr",NA
"293","Lower Thompson",1983,"Skuhun Cr",NA
"294","Lower Thompson",1983,"Spahomin Cr",NA
"295","Lower Thompson",1983,"Spius Cr",NA
"296","Lower Thompson",1983,"Thompson R",NA
"297","Lower Thompson",1983,"Tranquille R",NA
"298","Lower Thompson",1984,"Bonaparte R",411
"299","Lower Thompson",1984,"Brook Cr",NA
"300","Lower Thompson",1984,"Clapperton Cr",7
"301","Lower Thompson",1984,"Coldwater R",3238
"302","Lower Thompson",1984,"Deadman R",1500
"303","Lower Thompson",1984,"Guichon Cr",58
"304","Lower Thompson",1984,"Juliet Cr",NA
"305","Lower Thompson",1984,"Kamloops Lake",NA
"306","Lower Thompson",1984,"Maka Cr",NA
"307","Lower Thompson",1984,"Nicola R (DAM)",17
"308","Lower Thompson",1984,"Nicola R (DOT)",18
"309","Lower Thompson",1984,"Nooaitch Cr",NA
"310","Lower Thompson",1984,"Quilchena Cr",NA
"311","Lower Thompson",1984,"Skuhun Cr",NA
"312","Lower Thompson",1984,"Spahomin Cr",NA
"313","Lower Thompson",1984,"Spius Cr",1634
"314","Lower Thompson",1984,"Thompson R",NA
"315","Lower Thompson",1984,"Tranquille R",25
"316","Lower Thompson",1985,"Bonaparte R",270
"317","Lower Thompson",1985,"Brook Cr",NA
"318","Lower Thompson",1985,"Clapperton Cr",5
"319","Lower Thompson",1985,"Coldwater R",1981
"320","Lower Thompson",1985,"Deadman R",1024
"321","Lower Thompson",1985,"Guichon Cr",39
"322","Lower Thompson",1985,"Juliet Cr",NA
"323","Lower Thompson",1985,"Kamloops Lake",NA
"324","Lower Thompson",1985,"Maka Cr",NA
"325","Lower Thompson",1985,"Nicola R (DAM)",12
"326","Lower Thompson",1985,"Nicola R (DOT)",12
"327","Lower Thompson",1985,"Nooaitch Cr",NA
"328","Lower Thompson",1985,"Quilchena Cr",NA
"329","Lower Thompson",1985,"Skuhun Cr",NA
"330","Lower Thompson",1985,"Spahomin Cr",NA
"331","Lower Thompson",1985,"Spius Cr",1074
"332","Lower Thompson",1985,"Thompson R",NA
"333","Lower Thompson",1985,"Tranquille R",16
"334","Lower Thompson",1986,"Bonaparte R",287
"335","Lower Thompson",1986,"Brook Cr",NA
"336","Lower Thompson",1986,"Clapperton Cr",6
"337","Lower Thompson",1986,"Coldwater R",2750
"338","Lower Thompson",1986,"Deadman R",390
"339","Lower Thompson",1986,"Guichon Cr",47
"340","Lower Thompson",1986,"Juliet Cr",NA
"341","Lower Thompson",1986,"Kamloops Lake",NA
"342","Lower Thompson",1986,"Maka Cr",NA
"343","Lower Thompson",1986,"Nicola R (DAM)",14
"344","Lower Thompson",1986,"Nicola R (DOT)",15
"345","Lower Thompson",1986,"Nooaitch Cr",NA
"346","Lower Thompson",1986,"Quilchena Cr",NA
"347","Lower Thompson",1986,"Skuhun Cr",NA
"348","Lower Thompson",1986,"Spahomin Cr",NA
"349","Lower Thompson",1986,"Spius Cr",558
"350","Lower Thompson",1986,"Thompson R",NA
"351","Lower Thompson",1986,"Tranquille R",17
"352","Lower Thompson",1987,"Bonaparte R",47
"353","Lower Thompson",1987,"Brook Cr",NA
"354","Lower Thompson",1987,"Clapperton Cr",7
"355","Lower Thompson",1987,"Coldwater R",2979
"356","Lower Thompson",1987,"Deadman R",2176
"357","Lower Thompson",1987,"Guichon Cr",57
"358","Lower Thompson",1987,"Juliet Cr",NA
"359","Lower Thompson",1987,"Kamloops Lake",NA
"360","Lower Thompson",1987,"Maka Cr",NA
"361","Lower Thompson",1987,"Nicola R (DAM)",17
"362","Lower Thompson",1987,"Nicola R (DOT)",18
"363","Lower Thompson",1987,"Nooaitch Cr",NA
"364","Lower Thompson",1987,"Quilchena Cr",NA
"365","Lower Thompson",1987,"Skuhun Cr",NA
"366","Lower Thompson",1987,"Spahomin Cr",NA
"367","Lower Thompson",1987,"Spius Cr",698
"368","Lower Thompson",1987,"Thompson R",NA
"369","Lower Thompson",1987,"Tranquille R",24
"370","Lower Thompson",1988,"Bonaparte R",403
"371","Lower Thompson",1988,"Brook Cr",NA
"372","Lower Thompson",1988,"Clapperton Cr",9
"373","Lower Thompson",1988,"Coldwater R",3723
"374","Lower Thompson",1988,"Deadman R",1722
"375","Lower Thompson",1988,"Guichon Cr",72
"376","Lower Thompson",1988,"Juliet Cr",NA
"377","Lower Thompson",1988,"Kamloops Lake",NA
"378","Lower Thompson",1988,"Maka Cr",NA
"379","Lower Thompson",1988,"Nicola R (DAM)",22
"380","Lower Thompson",1988,"Nicola R (DOT)",22
"381","Lower Thompson",1988,"Nooaitch Cr",NA
"382","Lower Thompson",1988,"Quilchena Cr",NA
"383","Lower Thompson",1988,"Skuhun Cr",NA
"384","Lower Thompson",1988,"Spahomin Cr",NA
"385","Lower Thompson",1988,"Spius Cr",186
"386","Lower Thompson",1988,"Thompson R",NA
"387","Lower Thompson",1988,"Tranquille R",24
"388","Lower Thompson",1989,"Bonaparte R",428
"389","Lower Thompson",1989,"Brook Cr",NA
"390","Lower Thompson",1989,"Clapperton Cr",10
"391","Lower Thompson",1989,"Coldwater R",4654
"392","Lower Thompson",1989,"Deadman R",430
"393","Lower Thompson",1989,"Guichon Cr",78
"394","Lower Thompson",1989,"Juliet Cr",NA
"395","Lower Thompson",1989,"Kamloops Lake",NA
"396","Lower Thompson",1989,"Maka Cr",NA
"397","Lower Thompson",1989,"Nicola R (DAM)",23
"398","Lower Thompson",1989,"Nicola R (DOT)",24
"399","Lower Thompson",1989,"Nooaitch Cr",NA
"400","Lower Thompson",1989,"Quilchena Cr",NA
"401","Lower Thompson",1989,"Skuhun Cr",NA
"402","Lower Thompson",1989,"Spahomin Cr",NA
"403","Lower Thompson",1989,"Spius Cr",981
"404","Lower Thompson",1989,"Thompson R",NA
"405","Lower Thompson",1989,"Tranquille R",26
"406","Lower Thompson",1990,"Bonaparte R",186
"407","Lower Thompson",1990,"Brook Cr",NA
"408","Lower Thompson",1990,"Clapperton Cr",10
"409","Lower Thompson",1990,"Coldwater R",5585
"410","Lower Thompson",1990,"Deadman R",508
"411","Lower Thompson",1990,"Guichon Cr",78
"412","Lower Thompson",1990,"Juliet Cr",NA
"413","Lower Thompson",1990,"Kamloops Lake",NA
"414","Lower Thompson",1990,"Maka Cr",NA
"415","Lower Thompson",1990,"Nicola R (DAM)",23
"416","Lower Thompson",1990,"Nicola R (DOT)",24
"417","Lower Thompson",1990,"Nooaitch Cr",NA
"418","Lower Thompson",1990,"Quilchena Cr",NA
"419","Lower Thompson",1990,"Skuhun Cr",NA
"420","Lower Thompson",1990,"Spahomin Cr",NA
"421","Lower Thompson",1990,"Spius Cr",1862
"422","Lower Thompson",1990,"Thompson R",NA
"423","Lower Thompson",1990,"Tranquille R",32
"424","Lower Thompson",1991,"Bonaparte R",58
"425","Lower Thompson",1991,"Brook Cr",NA
"426","Lower Thompson",1991,"Clapperton Cr",9
"427","Lower Thompson",1991,"Coldwater R",2792
"428","Lower Thompson",1991,"Deadman R",2906
"429","Lower Thompson",1991,"Guichon Cr",67
"430","Lower Thompson",1991,"Juliet Cr",NA
"431","Lower Thompson",1991,"Kamloops Lake",NA
"432","Lower Thompson",1991,"Maka Cr",NA
"433","Lower Thompson",1991,"Nicola R (DAM)",20
"434","Lower Thompson",1991,"Nicola R (DOT)",21
"435","Lower Thompson",1991,"Nooaitch Cr",NA
"436","Lower Thompson",1991,"Quilchena Cr",NA
"437","Lower Thompson",1991,"Skuhun Cr",NA
"438","Lower Thompson",1991,"Spahomin Cr",NA
"439","Lower Thompson",1991,"Spius Cr",1234
"440","Lower Thompson",1991,"Thompson R",NA
"441","Lower Thompson",1991,"Tranquille R",27
"442","Lower Thompson",1992,"Bonaparte R",19
"443","Lower Thompson",1992,"Brook Cr",NA
"444","Lower Thompson",1992,"Clapperton Cr",10
"445","Lower Thompson",1992,"Coldwater R",5585
"446","Lower Thompson",1992,"Deadman R",1225
"447","Lower Thompson",1992,"Guichon Cr",77
"448","Lower Thompson",1992,"Juliet Cr",NA
"449","Lower Thompson",1992,"Kamloops Lake",NA
"450","Lower Thompson",1992,"Maka Cr",NA
"451","Lower Thompson",1992,"Nicola R (DAM)",23
"452","Lower Thompson",1992,"Nicola R (DOT)",24
"453","Lower Thompson",1992,"Nooaitch Cr",NA
"454","Lower Thompson",1992,"Quilchena Cr",NA
"455","Lower Thompson",1992,"Skuhun Cr",NA
"456","Lower Thompson",1992,"Spahomin Cr",NA
"457","Lower Thompson",1992,"Spius Cr",1117
"458","Lower Thompson",1992,"Thompson R",NA
"459","Lower Thompson",1992,"Tranquille R",31
"460","Lower Thompson",1993,"Bonaparte R",48
"461","Lower Thompson",1993,"Brook Cr",NA
"462","Lower Thompson",1993,"Clapperton Cr",19
"463","Lower Thompson",1993,"Coldwater R",7446
"464","Lower Thompson",1993,"Deadman R",6400
"465","Lower Thompson",1993,"Guichon Cr",149
"466","Lower Thompson",1993,"Juliet Cr",NA
"467","Lower Thompson",1993,"Kamloops Lake",NA
"468","Lower Thompson",1993,"Maka Cr",NA
"469","Lower Thompson",1993,"Nicola R (DAM)",45
"470","Lower Thompson",1993,"Nicola R (DOT)",46
"471","Lower Thompson",1993,"Nooaitch Cr",NA
"472","Lower Thompson",1993,"Quilchena Cr",NA
"473","Lower Thompson",1993,"Skuhun Cr",NA
"474","Lower Thompson",1993,"Spahomin Cr",NA
"475","Lower Thompson",1993,"Spius Cr",1601
"476","Lower Thompson",1993,"Thompson R",NA
"477","Lower Thompson",1993,"Tranquille R",60
"478","Lower Thompson",1994,"Bonaparte R",78
"479","Lower Thompson",1994,"Brook Cr",NA
"480","Lower Thompson",1994,"Clapperton Cr",13
"481","Lower Thompson",1994,"Coldwater R",6516
"482","Lower Thompson",1994,"Deadman R",1391
"483","Lower Thompson",1994,"Guichon Cr",103
"484","Lower Thompson",1994,"Juliet Cr",NA
"485","Lower Thompson",1994,"Kamloops Lake",NA
"486","Lower Thompson",1994,"Maka Cr",NA
"487","Lower Thompson",1994,"Nicola R (DAM)",31
"488","Lower Thompson",1994,"Nicola R (DOT)",32
"489","Lower Thompson",1994,"Nooaitch Cr",NA
"490","Lower Thompson",1994,"Quilchena Cr",NA
"491","Lower Thompson",1994,"Skuhun Cr",NA
"492","Lower Thompson",1994,"Spahomin Cr",NA
"493","Lower Thompson",1994,"Spius Cr",2365
"494","Lower Thompson",1994,"Thompson R",NA
"495","Lower Thompson",1994,"Tranquille R",40
"496","Lower Thompson",1995,"Bonaparte R",374
"497","Lower Thompson",1995,"Brook Cr",NA
"498","Lower Thompson",1995,"Clapperton Cr",3
"499","Lower Thompson",1995,"Coldwater R",2703
"500","Lower Thompson",1995,"Deadman R",1067
"501","Lower Thompson",1995,"Guichon Cr",22
"502","Lower Thompson",1995,"Juliet Cr",NA
"503","Lower Thompson",1995,"Kamloops Lake",NA
"504","Lower Thompson",1995,"Maka Cr",NA
"505","Lower Thompson",1995,"Nicola R (DAM)",91
"506","Lower Thompson",1995,"Nicola R (DOT)",7
"507","Lower Thompson",1995,"Nooaitch Cr",NA
"508","Lower Thompson",1995,"Quilchena Cr",NA
"509","Lower Thompson",1995,"Skuhun Cr",NA
"510","Lower Thompson",1995,"Spahomin Cr",NA
"511","Lower Thompson",1995,"Spius Cr",1179
"512","Lower Thompson",1995,"Thompson R",NA
"513","Lower Thompson",1995,"Tranquille R",22
"514","Lower Thompson",1996,"Bonaparte R",145
"515","Lower Thompson",1996,"Brook Cr",NA
"516","Lower Thompson",1996,"Clapperton Cr",1
"517","Lower Thompson",1996,"Coldwater R",1086
"518","Lower Thompson",1996,"Deadman R",353
"519","Lower Thompson",1996,"Guichon Cr",7
"520","Lower Thompson",1996,"Juliet Cr",NA
"521","Lower Thompson",1996,"Kamloops Lake",NA
"522","Lower Thompson",1996,"Maka Cr",NA
"523","Lower Thompson",1996,"Nicola R (DAM)",7
"524","Lower Thompson",1996,"Nicola R (DOT)",2
"525","Lower Thompson",1996,"Nooaitch Cr",NA
"526","Lower Thompson",1996,"Quilchena Cr",NA
"527","Lower Thompson",1996,"Skuhun Cr",NA
