"","CU_name","Return.Year","TribDeme","Estimate"
"1275","North Thompson",1991,"Haggard Cr",12
"1276","North Thompson",1991,"Harper Cr",8
"1277","North Thompson",1991,"Lemieux Cr",1709
"1278","North Thompson",1991,"Lindquist Cr",5
"1279","North Thompson",1991,"Louis Cr",505
"1280","North Thompson",1991,"Lyon Cr",953
"1281","North Thompson",1991,"Mann Cr",88
"1282","North Thompson",1991,"N Thompson R (mid)",2764
"1283","North Thompson",1991,"N Thompson R (upr)",213
"1284","North Thompson",1991,"Paul Cr",8
"1285","North Thompson",1991,"Peterson Cr",4
"1286","North Thompson",1991,"Pig Channel",254
"1287","North Thompson",1991,"Raft R",829
"1288","North Thompson",1991,"Reg Christie Cr",99
"1289","North Thompson",1991,"Saskum Cr",12
"1290","North Thompson",1991,"Shannon Cr",18
"1291","North Thompson",1991,"Tumtum Cr",45
"1292","North Thompson",1991,"Wire Cache Cr",137
"1293","North Thompson",1992,"Albreda R",829
"1294","North Thompson",1992,"Avola Cr",497
"1295","North Thompson",1992,"Barriere R",414
"1296","North Thompson",1992,"Barriere R (lwr)",NA
"1297","North Thompson",1992,"Barriere R (upr)",NA
"1298","North Thompson",1992,"Birch Island Channel",130
"1299","North Thompson",1992,"Blue R",124
"1300","North Thompson",1992,"Cedar Cr",96
"1301","North Thompson",1992,"Cook Cr",83
"1302","North Thompson",1992,"Darlington Cr",6
"1303","North Thompson",1992,"Dunn Cr",2415
"1304","North Thompson",1992,"E Barriere R",218
"1305","North Thompson",1992,"Fennell Cr",1179
"1306","North Thompson",1992,"Finn Cr",41
"1307","North Thompson",1992,"Haggard Cr",41
"1308","North Thompson",1992,"Harper Cr",11
"1309","North Thompson",1992,"Lemieux Cr",809
"1310","North Thompson",1992,"Lindquist Cr",7
"1311","North Thompson",1992,"Louis Cr",442
"1312","North Thompson",1992,"Lyon Cr",2196
"1313","North Thompson",1992,"Mann Cr",115
"1314","North Thompson",1992,"N Thompson R (mid)",3066
"1315","North Thompson",1992,"N Thompson R (upr)",279
"1316","North Thompson",1992,"Paul Cr",10
"1317","North Thompson",1992,"Peterson Cr",6
"1318","North Thompson",1992,"Pig Channel",333
"1319","North Thompson",1992,"Raft R",414
"1320","North Thompson",1992,"Reg Christie Cr",290
"1321","North Thompson",1992,"Saskum Cr",16
"1322","North Thompson",1992,"Shannon Cr",17
"1323","North Thompson",1992,"Tumtum Cr",186
"1324","North Thompson",1992,"Wire Cache Cr",1657
"1325","North Thompson",1993,"Albreda R",414
"1326","North Thompson",1993,"Avola Cr",414
"1327","North Thompson",1993,"Barriere R",414
"1328","North Thompson",1993,"Barriere R (lwr)",NA
"1329","North Thompson",1993,"Barriere R (upr)",NA
"1330","North Thompson",1993,"Birch Island Channel",57
"1331","North Thompson",1993,"Blue R",4
"1332","North Thompson",1993,"Cedar Cr",42
"1333","North Thompson",1993,"Cook Cr",17
"1334","North Thompson",1993,"Darlington Cr",3
"1335","North Thompson",1993,"Dunn Cr",712
"1336","North Thompson",1993,"E Barriere R",207
"1337","North Thompson",1993,"Fennell Cr",512
"1338","North Thompson",1993,"Finn Cr",103
"1339","North Thompson",1993,"Haggard Cr",7
"1340","North Thompson",1993,"Harper Cr",5
"1341","North Thompson",1993,"Lemieux Cr",684
"1342","North Thompson",1993,"Lindquist Cr",3
"1343","North Thompson",1993,"Louis Cr",352
"1344","North Thompson",1993,"Lyon Cr",414
"1345","North Thompson",1993,"Mann Cr",50
"1346","North Thompson",1993,"N Thompson R (mid)",1450
"1347","North Thompson",1993,"N Thompson R (upr)",121
"1348","North Thompson",1993,"Paul Cr",5
"1349","North Thompson",1993,"Peterson Cr",2
"1350","North Thompson",1993,"Pig Channel",145
"1351","North Thompson",1993,"Raft R",207
