"","Year","CU_ID","Species","Stock","Metric","Compare","LBM","UBM","Value","Status","Confidence"
"3278",2011,"CO-13","Coho","East Vancouver Island-Georgia Strait","LongTrend",NA,NA,NA,NA,NA,NA
"3279",2012,"CO-13","Coho","East Vancouver Island-Georgia Strait","LongTrend",NA,NA,NA,NA,NA,NA
"3280",2013,"CO-13","Coho","East Vancouver Island-Georgia Strait","LongTrend",NA,NA,NA,NA,NA,NA
"3281",2014,"CO-13","Coho","East Vancouver Island-Georgia Strait","LongTrend",NA,NA,NA,NA,NA,NA
"3282",2015,"CO-13","Coho","East Vancouver Island-Georgia Strait","LongTrend",NA,NA,NA,NA,NA,NA
"3283",2016,"CO-13","Coho","East Vancouver Island-Georgia Strait","LongTrend",NA,NA,NA,NA,NA,NA
"3284",2017,"CO-13","Coho","East Vancouver Island-Georgia Strait","LongTrend",NA,NA,NA,NA,NA,NA
"3285",2018,"CO-13","Coho","East Vancouver Island-Georgia Strait","LongTrend",NA,NA,NA,NA,NA,NA
"3286",2010,"CO-13","Coho","East Vancouver Island-Georgia Strait","PercChange",NA,NA,NA,NA,NA,NA
"3287",2011,"CO-13","Coho","East Vancouver Island-Georgia Strait","PercChange",NA,NA,NA,NA,NA,NA
"3288",2012,"CO-13","Coho","East Vancouver Island-Georgia Strait","PercChange",NA,NA,NA,NA,NA,NA
"3289",2013,"CO-13","Coho","East Vancouver Island-Georgia Strait","PercChange",NA,NA,NA,NA,NA,NA
"3290",2014,"CO-13","Coho","East Vancouver Island-Georgia Strait","PercChange",NA,NA,NA,NA,NA,NA
"3291",2015,"CO-13","Coho","East Vancouver Island-Georgia Strait","PercChange",NA,NA,NA,NA,NA,NA
"3292",2016,"CO-13","Coho","East Vancouver Island-Georgia Strait","PercChange",NA,NA,NA,NA,NA,NA
"3293",2017,"CO-13","Coho","East Vancouver Island-Georgia Strait","PercChange",NA,NA,NA,NA,NA,NA
"3294",2018,"CO-13","Coho","East Vancouver Island-Georgia Strait","PercChange",NA,NA,NA,NA,NA,NA
"3295",2010,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","RelUBM",NA,NA,NA,NA,NA,NA
"3296",2011,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","RelUBM",NA,NA,NA,NA,NA,NA
"3297",2012,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","RelUBM",NA,NA,NA,NA,NA,NA
"3298",2013,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","RelUBM",NA,NA,NA,NA,NA,NA
"3299",2014,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","RelUBM",NA,NA,NA,NA,NA,NA
"3300",2015,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","RelUBM",NA,NA,NA,NA,NA,NA
"3301",2016,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","RelUBM",NA,NA,NA,NA,NA,NA
"3302",2017,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","RelUBM",NA,NA,NA,NA,NA,NA
"3303",2018,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","RelUBM",NA,NA,NA,NA,NA,NA
"3304",2010,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","AbsUBM",NA,NA,NA,NA,NA,NA
"3305",2011,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","AbsUBM",NA,NA,NA,NA,NA,NA
"3306",2012,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","AbsUBM",NA,NA,NA,NA,NA,NA
"3307",2013,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","AbsUBM",NA,NA,NA,NA,NA,NA
"3308",2014,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","AbsUBM",NA,NA,NA,NA,NA,NA
"3309",2015,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","AbsUBM",NA,NA,NA,NA,NA,NA
"3310",2016,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","AbsUBM",NA,NA,NA,NA,NA,NA
"3311",2017,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","AbsUBM",NA,NA,NA,NA,NA,NA
"3312",2018,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","AbsUBM",NA,NA,NA,NA,NA,NA
"3313",2010,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","RelLBM",NA,NA,NA,NA,NA,NA
"3314",2011,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","RelLBM",NA,NA,NA,NA,NA,NA
"3315",2012,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","RelLBM",NA,NA,NA,NA,NA,NA
"3316",2013,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","RelLBM",NA,NA,NA,NA,NA,NA
"3317",2014,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","RelLBM",NA,NA,NA,NA,NA,NA
"3318",2015,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","RelLBM",NA,NA,NA,NA,NA,NA
"3319",2016,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","RelLBM",NA,NA,NA,NA,NA,NA
"3320",2017,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","RelLBM",NA,NA,NA,NA,NA,NA
"3321",2018,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","RelLBM",NA,NA,NA,NA,NA,NA
"3322",2010,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","AbsLBM",NA,NA,NA,NA,NA,NA
"3323",2011,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","AbsLBM",NA,NA,NA,NA,NA,NA
"3324",2012,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","AbsLBM",NA,NA,NA,NA,NA,NA
"3325",2013,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","AbsLBM",NA,NA,NA,NA,NA,NA
"3326",2014,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","AbsLBM",NA,NA,NA,NA,NA,NA
"3327",2015,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","AbsLBM",NA,NA,NA,NA,NA,NA
"3328",2016,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","AbsLBM",NA,NA,NA,NA,NA,NA
"3329",2017,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","AbsLBM",NA,NA,NA,NA,NA,NA
"3330",2018,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","AbsLBM",NA,NA,NA,NA,NA,NA
"3331",2010,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","LongTrend",NA,NA,NA,NA,NA,NA
"3332",2011,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","LongTrend",NA,NA,NA,NA,NA,NA
"3333",2012,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","LongTrend",NA,NA,NA,NA,NA,NA
"3334",2013,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","LongTrend",NA,NA,NA,NA,NA,NA
"3335",2014,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","LongTrend",NA,NA,NA,NA,NA,NA
"3336",2015,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","LongTrend",NA,NA,NA,NA,NA,NA
"3337",2016,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","LongTrend",NA,NA,NA,NA,NA,NA
"3338",2017,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","LongTrend",NA,NA,NA,NA,NA,NA
"3339",2018,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","LongTrend",NA,NA,NA,NA,NA,NA
"3340",2010,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","PercChange",NA,NA,NA,NA,NA,NA
"3341",2011,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","PercChange",NA,NA,NA,NA,NA,NA
"3342",2012,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","PercChange",NA,NA,NA,NA,NA,NA
"3343",2013,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","PercChange",NA,NA,NA,NA,NA,NA
"3344",2014,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","PercChange",NA,NA,NA,NA,NA,NA
"3345",2015,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","PercChange",NA,NA,NA,NA,NA,NA
"3346",2016,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","PercChange",NA,NA,NA,NA,NA,NA
"3347",2017,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","PercChange",NA,NA,NA,NA,NA,NA
"3348",2018,"CO-14","Coho","East Vancouver Island-Johnstone Strait-Southern Fjords","PercChange",NA,NA,NA,NA,NA,NA
"3349",2010,"CO-15","Coho","Nahwitti Lowland","RelUBM",NA,NA,NA,NA,NA,NA
"3350",2011,"CO-15","Coho","Nahwitti Lowland","RelUBM",NA,NA,NA,NA,NA,NA
"3351",2012,"CO-15","Coho","Nahwitti Lowland","RelUBM",NA,NA,NA,NA,NA,NA
"3352",2013,"CO-15","Coho","Nahwitti Lowland","RelUBM",NA,NA,NA,NA,NA,NA
"3353",2014,"CO-15","Coho","Nahwitti Lowland","RelUBM",NA,NA,NA,NA,NA,NA
"3354",2015,"CO-15","Coho","Nahwitti Lowland","RelUBM",NA,NA,NA,NA,NA,NA
"3355",2016,"CO-15","Coho","Nahwitti Lowland","RelUBM",NA,NA,NA,NA,NA,NA
"3356",2017,"CO-15","Coho","Nahwitti Lowland","RelUBM",NA,NA,NA,NA,NA,NA
"3357",2018,"CO-15","Coho","Nahwitti Lowland","RelUBM",NA,NA,NA,NA,NA,NA
"3358",2010,"CO-15","Coho","Nahwitti Lowland","AbsUBM",NA,NA,NA,NA,NA,NA
"3359",2011,"CO-15","Coho","Nahwitti Lowland","AbsUBM",NA,NA,NA,NA,NA,NA
"3360",2012,"CO-15","Coho","Nahwitti Lowland","AbsUBM",NA,NA,NA,NA,NA,NA
"3361",2013,"CO-15","Coho","Nahwitti Lowland","AbsUBM",NA,NA,NA,NA,NA,NA
"3362",2014,"CO-15","Coho","Nahwitti Lowland","AbsUBM",NA,NA,NA,NA,NA,NA
"3363",2015,"CO-15","Coho","Nahwitti Lowland","AbsUBM",NA,NA,NA,NA,NA,NA
"3364",2016,"CO-15","Coho","Nahwitti Lowland","AbsUBM",NA,NA,NA,NA,NA,NA
"3365",2017,"CO-15","Coho","Nahwitti Lowland","AbsUBM",NA,NA,NA,NA,NA,NA
"3366",2018,"CO-15","Coho","Nahwitti Lowland","AbsUBM",NA,NA,NA,NA,NA,NA
"3367",2010,"CO-15","Coho","Nahwitti Lowland","RelLBM",NA,NA,NA,NA,NA,NA
"3368",2011,"CO-15","Coho","Nahwitti Lowland","RelLBM",NA,NA,NA,NA,NA,NA
"3369",2012,"CO-15","Coho","Nahwitti Lowland","RelLBM",NA,NA,NA,NA,NA,NA
"3370",2013,"CO-15","Coho","Nahwitti Lowland","RelLBM",NA,NA,NA,NA,NA,NA
"3371",2014,"CO-15","Coho","Nahwitti Lowland","RelLBM",NA,NA,NA,NA,NA,NA
"3372",2015,"CO-15","Coho","Nahwitti Lowland","RelLBM",NA,NA,NA,NA,NA,NA
"3373",2016,"CO-15","Coho","Nahwitti Lowland","RelLBM",NA,NA,NA,NA,NA,NA
"3374",2017,"CO-15","Coho","Nahwitti Lowland","RelLBM",NA,NA,NA,NA,NA,NA
"3375",2018,"CO-15","Coho","Nahwitti Lowland","RelLBM",NA,NA,NA,NA,NA,NA
"3376",2010,"CO-15","Coho","Nahwitti Lowland","AbsLBM",NA,NA,NA,NA,NA,NA
"3377",2011,"CO-15","Coho","Nahwitti Lowland","AbsLBM",NA,NA,NA,NA,NA,NA
"3378",2012,"CO-15","Coho","Nahwitti Lowland","AbsLBM",NA,NA,NA,NA,NA,NA
"3379",2013,"CO-15","Coho","Nahwitti Lowland","AbsLBM",NA,NA,NA,NA,NA,NA
"3380",2014,"CO-15","Coho","Nahwitti Lowland","AbsLBM",NA,NA,NA,NA,NA,NA
"3381",2015,"CO-15","Coho","Nahwitti Lowland","AbsLBM",NA,NA,NA,NA,NA,NA
"3382",2016,"CO-15","Coho","Nahwitti Lowland","AbsLBM",NA,NA,NA,NA,NA,NA
"3383",2017,"CO-15","Coho","Nahwitti Lowland","AbsLBM",NA,NA,NA,NA,NA,NA
"3384",2018,"CO-15","Coho","Nahwitti Lowland","AbsLBM",NA,NA,NA,NA,NA,NA
"3385",2010,"CO-15","Coho","Nahwitti Lowland","LongTrend",NA,NA,NA,NA,NA,NA
"3386",2011,"CO-15","Coho","Nahwitti Lowland","LongTrend",NA,NA,NA,NA,NA,NA
"3387",2012,"CO-15","Coho","Nahwitti Lowland","LongTrend",NA,NA,NA,NA,NA,NA
"3388",2013,"CO-15","Coho","Nahwitti Lowland","LongTrend",NA,NA,NA,NA,NA,NA
"3389",2014,"CO-15","Coho","Nahwitti Lowland","LongTrend",NA,NA,NA,NA,NA,NA
"3390",2015,"CO-15","Coho","Nahwitti Lowland","LongTrend",NA,NA,NA,NA,NA,NA
"3391",2016,"CO-15","Coho","Nahwitti Lowland","LongTrend",NA,NA,NA,NA,NA,NA
"3392",2017,"CO-15","Coho","Nahwitti Lowland","LongTrend",NA,NA,NA,NA,NA,NA
"3393",2018,"CO-15","Coho","Nahwitti Lowland","LongTrend",NA,NA,NA,NA,NA,NA
"3394",2010,"CO-15","Coho","Nahwitti Lowland","PercChange",NA,NA,NA,NA,NA,NA
"3395",2011,"CO-15","Coho","Nahwitti Lowland","PercChange",NA,NA,NA,NA,NA,NA
"3396",2012,"CO-15","Coho","Nahwitti Lowland","PercChange",NA,NA,NA,NA,NA,NA
"3397",2013,"CO-15","Coho","Nahwitti Lowland","PercChange",NA,NA,NA,NA,NA,NA
"3398",2014,"CO-15","Coho","Nahwitti Lowland","PercChange",NA,NA,NA,NA,NA,NA
"3399",2015,"CO-15","Coho","Nahwitti Lowland","PercChange",NA,NA,NA,NA,NA,NA
"3400",2016,"CO-15","Coho","Nahwitti Lowland","PercChange",NA,NA,NA,NA,NA,NA
"3401",2017,"CO-15","Coho","Nahwitti Lowland","PercChange",NA,NA,NA,NA,NA,NA
"3402",2018,"CO-15","Coho","Nahwitti Lowland","PercChange",NA,NA,NA,NA,NA,NA
"3403",2010,"CO-16","Coho","Juan de Fuca-Pachena","RelUBM",NA,NA,NA,NA,NA,NA
"3404",2011,"CO-16","Coho","Juan de Fuca-Pachena","RelUBM",NA,NA,NA,NA,NA,NA
"3405",2012,"CO-16","Coho","Juan de Fuca-Pachena","RelUBM",NA,NA,NA,NA,NA,NA
"3406",2013,"CO-16","Coho","Juan de Fuca-Pachena","RelUBM",NA,NA,NA,NA,NA,NA
"3407",2014,"CO-16","Coho","Juan de Fuca-Pachena","RelUBM",NA,NA,NA,NA,NA,NA
"3408",2015,"CO-16","Coho","Juan de Fuca-Pachena","RelUBM",NA,NA,NA,NA,NA,NA
"3409",2016,"CO-16","Coho","Juan de Fuca-Pachena","RelUBM",NA,NA,NA,NA,NA,NA
"3410",2017,"CO-16","Coho","Juan de Fuca-Pachena","RelUBM",NA,NA,NA,NA,NA,NA
"3411",2018,"CO-16","Coho","Juan de Fuca-Pachena","RelUBM",NA,NA,NA,NA,NA,NA
"3412",2010,"CO-16","Coho","Juan de Fuca-Pachena","AbsUBM",NA,NA,NA,NA,NA,NA
"3413",2011,"CO-16","Coho","Juan de Fuca-Pachena","AbsUBM",NA,NA,NA,NA,NA,NA
"3414",2012,"CO-16","Coho","Juan de Fuca-Pachena","AbsUBM",NA,NA,NA,NA,NA,NA
"3415",2013,"CO-16","Coho","Juan de Fuca-Pachena","AbsUBM",NA,NA,NA,NA,NA,NA
"3416",2014,"CO-16","Coho","Juan de Fuca-Pachena","AbsUBM",NA,NA,NA,NA,NA,NA
"3417",2015,"CO-16","Coho","Juan de Fuca-Pachena","AbsUBM",NA,NA,NA,NA,NA,NA
"3418",2016,"CO-16","Coho","Juan de Fuca-Pachena","AbsUBM",NA,NA,NA,NA,NA,NA
"3419",2017,"CO-16","Coho","Juan de Fuca-Pachena","AbsUBM",NA,NA,NA,NA,NA,NA
"3420",2018,"CO-16","Coho","Juan de Fuca-Pachena","AbsUBM",NA,NA,NA,NA,NA,NA
"3421",2010,"CO-16","Coho","Juan de Fuca-Pachena","RelLBM",NA,NA,NA,NA,NA,NA
"3422",2011,"CO-16","Coho","Juan de Fuca-Pachena","RelLBM",NA,NA,NA,NA,NA,NA
"3423",2012,"CO-16","Coho","Juan de Fuca-Pachena","RelLBM",NA,NA,NA,NA,NA,NA
"3424",2013,"CO-16","Coho","Juan de Fuca-Pachena","RelLBM",NA,NA,NA,NA,NA,NA
"3425",2014,"CO-16","Coho","Juan de Fuca-Pachena","RelLBM",NA,NA,NA,NA,NA,NA
"3426",2015,"CO-16","Coho","Juan de Fuca-Pachena","RelLBM",NA,NA,NA,NA,NA,NA
"3427",2016,"CO-16","Coho","Juan de Fuca-Pachena","RelLBM",NA,NA,NA,NA,NA,NA
"3428",2017,"CO-16","Coho","Juan de Fuca-Pachena","RelLBM",NA,NA,NA,NA,NA,NA
"3429",2018,"CO-16","Coho","Juan de Fuca-Pachena","RelLBM",NA,NA,NA,NA,NA,NA
"3430",2010,"CO-16","Coho","Juan de Fuca-Pachena","AbsLBM",NA,NA,NA,NA,NA,NA
"3431",2011,"CO-16","Coho","Juan de Fuca-Pachena","AbsLBM",NA,NA,NA,NA,NA,NA
"3432",2012,"CO-16","Coho","Juan de Fuca-Pachena","AbsLBM",NA,NA,NA,NA,NA,NA
"3433",2013,"CO-16","Coho","Juan de Fuca-Pachena","AbsLBM",NA,NA,NA,NA,NA,NA
"3434",2014,"CO-16","Coho","Juan de Fuca-Pachena","AbsLBM",NA,NA,NA,NA,NA,NA
"3435",2015,"CO-16","Coho","Juan de Fuca-Pachena","AbsLBM",NA,NA,NA,NA,NA,NA
"3436",2016,"CO-16","Coho","Juan de Fuca-Pachena","AbsLBM",NA,NA,NA,NA,NA,NA
"3437",2017,"CO-16","Coho","Juan de Fuca-Pachena","AbsLBM",NA,NA,NA,NA,NA,NA
"3438",2018,"CO-16","Coho","Juan de Fuca-Pachena","AbsLBM",NA,NA,NA,NA,NA,NA
"3439",2010,"CO-16","Coho","Juan de Fuca-Pachena","LongTrend",NA,NA,NA,NA,NA,NA
"3440",2011,"CO-16","Coho","Juan de Fuca-Pachena","LongTrend",NA,NA,NA,NA,NA,NA
"3441",2012,"CO-16","Coho","Juan de Fuca-Pachena","LongTrend",NA,NA,NA,NA,NA,NA
"3442",2013,"CO-16","Coho","Juan de Fuca-Pachena","LongTrend",NA,NA,NA,NA,NA,NA
"3443",2014,"CO-16","Coho","Juan de Fuca-Pachena","LongTrend",NA,NA,NA,NA,NA,NA
"3444",2015,"CO-16","Coho","Juan de Fuca-Pachena","LongTrend",NA,NA,NA,NA,NA,NA
"3445",2016,"CO-16","Coho","Juan de Fuca-Pachena","LongTrend",NA,NA,NA,NA,NA,NA
"3446",2017,"CO-16","Coho","Juan de Fuca-Pachena","LongTrend",NA,NA,NA,NA,NA,NA
"3447",2018,"CO-16","Coho","Juan de Fuca-Pachena","LongTrend",NA,NA,NA,NA,NA,NA
"3448",2010,"CO-16","Coho","Juan de Fuca-Pachena","PercChange",NA,NA,NA,NA,NA,NA
"3449",2011,"CO-16","Coho","Juan de Fuca-Pachena","PercChange",NA,NA,NA,NA,NA,NA
"3450",2012,"CO-16","Coho","Juan de Fuca-Pachena","PercChange",NA,NA,NA,NA,NA,NA
"3451",2013,"CO-16","Coho","Juan de Fuca-Pachena","PercChange",NA,NA,NA,NA,NA,NA
"3452",2014,"CO-16","Coho","Juan de Fuca-Pachena","PercChange",NA,NA,NA,NA,NA,NA
"3453",2015,"CO-16","Coho","Juan de Fuca-Pachena","PercChange",NA,NA,NA,NA,NA,NA
"3454",2016,"CO-16","Coho","Juan de Fuca-Pachena","PercChange",NA,NA,NA,NA,NA,NA
"3455",2017,"CO-16","Coho","Juan de Fuca-Pachena","PercChange",NA,NA,NA,NA,NA,NA
"3456",2018,"CO-16","Coho","Juan de Fuca-Pachena","PercChange",NA,NA,NA,NA,NA,NA
"3457",2010,"CO-17","Coho","West Vancouver Island","RelUBM",NA,NA,NA,NA,NA,NA
"3458",2011,"CO-17","Coho","West Vancouver Island","RelUBM",NA,NA,NA,NA,NA,NA
"3459",2012,"CO-17","Coho","West Vancouver Island","RelUBM",NA,NA,NA,NA,NA,NA
"3460",2013,"CO-17","Coho","West Vancouver Island","RelUBM",NA,NA,NA,NA,NA,NA
"3461",2014,"CO-17","Coho","West Vancouver Island","RelUBM",NA,NA,NA,NA,NA,NA
"3462",2015,"CO-17","Coho","West Vancouver Island","RelUBM",NA,NA,NA,NA,NA,NA
"3463",2016,"CO-17","Coho","West Vancouver Island","RelUBM",NA,NA,NA,NA,NA,NA
"3464",2017,"CO-17","Coho","West Vancouver Island","RelUBM",NA,NA,NA,NA,NA,NA
"3465",2018,"CO-17","Coho","West Vancouver Island","RelUBM",NA,NA,NA,NA,NA,NA
"3466",2010,"CO-17","Coho","West Vancouver Island","AbsUBM",NA,NA,NA,NA,NA,NA
"3467",2011,"CO-17","Coho","West Vancouver Island","AbsUBM",NA,NA,NA,NA,NA,NA
"3468",2012,"CO-17","Coho","West Vancouver Island","AbsUBM",NA,NA,NA,NA,NA,NA
"3469",2013,"CO-17","Coho","West Vancouver Island","AbsUBM",NA,NA,NA,NA,NA,NA
"3470",2014,"CO-17","Coho","West Vancouver Island","AbsUBM",NA,NA,NA,NA,NA,NA
"3471",2015,"CO-17","Coho","West Vancouver Island","AbsUBM",NA,NA,NA,NA,NA,NA
"3472",2016,"CO-17","Coho","West Vancouver Island","AbsUBM",NA,NA,NA,NA,NA,NA
"3473",2017,"CO-17","Coho","West Vancouver Island","AbsUBM",NA,NA,NA,NA,NA,NA
"3474",2018,"CO-17","Coho","West Vancouver Island","AbsUBM",NA,NA,NA,NA,NA,NA
"3475",2010,"CO-17","Coho","West Vancouver Island","RelLBM",NA,NA,NA,NA,NA,NA
"3476",2011,"CO-17","Coho","West Vancouver Island","RelLBM",NA,NA,NA,NA,NA,NA
"3477",2012,"CO-17","Coho","West Vancouver Island","RelLBM",NA,NA,NA,NA,NA,NA
"3478",2013,"CO-17","Coho","West Vancouver Island","RelLBM",NA,NA,NA,NA,NA,NA
"3479",2014,"CO-17","Coho","West Vancouver Island","RelLBM",NA,NA,NA,NA,NA,NA
"3480",2015,"CO-17","Coho","West Vancouver Island","RelLBM",NA,NA,NA,NA,NA,NA
"3481",2016,"CO-17","Coho","West Vancouver Island","RelLBM",NA,NA,NA,NA,NA,NA
"3482",2017,"CO-17","Coho","West Vancouver Island","RelLBM",NA,NA,NA,NA,NA,NA
"3483",2018,"CO-17","Coho","West Vancouver Island","RelLBM",NA,NA,NA,NA,NA,NA
"3484",2010,"CO-17","Coho","West Vancouver Island","AbsLBM",NA,NA,NA,NA,NA,NA
"3485",2011,"CO-17","Coho","West Vancouver Island","AbsLBM",NA,NA,NA,NA,NA,NA
"3486",2012,"CO-17","Coho","West Vancouver Island","AbsLBM",NA,NA,NA,NA,NA,NA
"3487",2013,"CO-17","Coho","West Vancouver Island","AbsLBM",NA,NA,NA,NA,NA,NA
"3488",2014,"CO-17","Coho","West Vancouver Island","AbsLBM",NA,NA,NA,NA,NA,NA
"3489",2015,"CO-17","Coho","West Vancouver Island","AbsLBM",NA,NA,NA,NA,NA,NA
"3490",2016,"CO-17","Coho","West Vancouver Island","AbsLBM",NA,NA,NA,NA,NA,NA
"3491",2017,"CO-17","Coho","West Vancouver Island","AbsLBM",NA,NA,NA,NA,NA,NA
"3492",2018,"CO-17","Coho","West Vancouver Island","AbsLBM",NA,NA,NA,NA,NA,NA
"3493",2010,"CO-17","Coho","West Vancouver Island","LongTrend",NA,NA,NA,NA,NA,NA
"3494",2011,"CO-17","Coho","West Vancouver Island","LongTrend",NA,NA,NA,NA,NA,NA
"3495",2012,"CO-17","Coho","West Vancouver Island","LongTrend",NA,NA,NA,NA,NA,NA
"3496",2013,"CO-17","Coho","West Vancouver Island","LongTrend",NA,NA,NA,NA,NA,NA
"3497",2014,"CO-17","Coho","West Vancouver Island","LongTrend",NA,NA,NA,NA,NA,NA
"3498",2015,"CO-17","Coho","West Vancouver Island","LongTrend",NA,NA,NA,NA,NA,NA
"3499",2016,"CO-17","Coho","West Vancouver Island","LongTrend",NA,NA,NA,NA,NA,NA
"3500",2017,"CO-17","Coho","West Vancouver Island","LongTrend",NA,NA,NA,NA,NA,NA
"3501",2018,"CO-17","Coho","West Vancouver Island","LongTrend",NA,NA,NA,NA,NA,NA
"3502",2010,"CO-17","Coho","West Vancouver Island","PercChange",NA,NA,NA,NA,NA,NA
"3503",2011,"CO-17","Coho","West Vancouver Island","PercChange",NA,NA,NA,NA,NA,NA
"3504",2012,"CO-17","Coho","West Vancouver Island","PercChange",NA,NA,NA,NA,NA,NA
"3505",2013,"CO-17","Coho","West Vancouver Island","PercChange",NA,NA,NA,NA,NA,NA
"3506",2014,"CO-17","Coho","West Vancouver Island","PercChange",NA,NA,NA,NA,NA,NA
"3507",2015,"CO-17","Coho","West Vancouver Island","PercChange",NA,NA,NA,NA,NA,NA
"3508",2016,"CO-17","Coho","West Vancouver Island","PercChange",NA,NA,NA,NA,NA,NA
"3509",2017,"CO-17","Coho","West Vancouver Island","PercChange",NA,NA,NA,NA,NA,NA
"3510",2018,"CO-17","Coho","West Vancouver Island","PercChange",NA,NA,NA,NA,NA,NA
"3511",2010,"CO-18","Coho","Clayoquot","RelUBM",NA,NA,NA,NA,NA,NA
"3512",2011,"CO-18","Coho","Clayoquot","RelUBM",NA,NA,NA,NA,NA,NA
"3513",2012,"CO-18","Coho","Clayoquot","RelUBM",NA,NA,NA,NA,NA,NA
"3514",2013,"CO-18","Coho","Clayoquot","RelUBM",NA,NA,NA,NA,NA,NA
"3515",2014,"CO-18","Coho","Clayoquot","RelUBM",NA,NA,NA,NA,NA,NA
"3516",2015,"CO-18","Coho","Clayoquot","RelUBM",NA,NA,NA,NA,NA,NA
"3517",2016,"CO-18","Coho","Clayoquot","RelUBM",NA,NA,NA,NA,NA,NA
"3518",2017,"CO-18","Coho","Clayoquot","RelUBM",NA,NA,NA,NA,NA,NA
"3519",2018,"CO-18","Coho","Clayoquot","RelUBM",NA,NA,NA,NA,NA,NA
"3520",2010,"CO-18","Coho","Clayoquot","AbsUBM",NA,NA,NA,NA,NA,NA
"3521",2011,"CO-18","Coho","Clayoquot","AbsUBM",NA,NA,NA,NA,NA,NA
"3522",2012,"CO-18","Coho","Clayoquot","AbsUBM",NA,NA,NA,NA,NA,NA
"3523",2013,"CO-18","Coho","Clayoquot","AbsUBM",NA,NA,NA,NA,NA,NA
"3524",2014,"CO-18","Coho","Clayoquot","AbsUBM",NA,NA,NA,NA,NA,NA
"3525",2015,"CO-18","Coho","Clayoquot","AbsUBM",NA,NA,NA,NA,NA,NA
"3526",2016,"CO-18","Coho","Clayoquot","AbsUBM",NA,NA,NA,NA,NA,NA
"3527",2017,"CO-18","Coho","Clayoquot","AbsUBM",NA,NA,NA,NA,NA,NA
