"","Pop_Name","Year","SpnForTrend_Total","Pop_ID","CU_ID","CU_Name","DU_ID","SpnForAbd_Total","SpnForAbd_Wild","SpnForTrend_Wild","Species","Recruits_Total","Recruits_Wild"
"101","CAYOOSH CREEK",1975,1541,"47205","PKO-01","Fraser Pink",NA,1541,1541,1541,"Pink",NA,NA
"102","CAYOOSH CREEK",1971,4545,"47205","PKO-01","Fraser Pink",NA,4545,4545,4545,"Pink",NA,NA
"103","CAYOOSH CREEK",1973,1336,"47205","PKO-01","Fraser Pink",NA,1336,1336,1336,"Pink",NA,NA
"104","CAYOOSH CREEK",1991,87388,"47205","PKO-01","Fraser Pink",NA,87388,87388,87388,"Pink",NA,NA
"105","CAYOOSH CREEK",1979,50638,"47205","PKO-01","Fraser Pink",NA,50638,50638,50638,"Pink",NA,NA
"106","CAYOOSH CREEK",1963,537,"47205","PKO-01","Fraser Pink",NA,537,537,537,"Pink",NA,NA
"107","CAYOOSH CREEK",1977,9412,"47205","PKO-01","Fraser Pink",NA,9412,9412,9412,"Pink",NA,NA
"108","CAYOOSH CREEK",1965,614,"47205","PKO-01","Fraser Pink",NA,614,614,614,"Pink",NA,NA
"109","CENTRE CREEK",1979,13,"47054","PKO-01","Fraser Pink",NA,13,13,13,"Pink",NA,NA
"110","CHEHALIS RIVER",1985,0,"46040","PKO-01","Fraser Pink",NA,0,0,0,"Pink",NA,NA
"111","CHEHALIS RIVER",1991,1000,"46040","PKO-01","Fraser Pink",NA,1000,1000,1000,"Pink",NA,NA
"112","CHEHALIS RIVER",1979,2067,"46040","PKO-01","Fraser Pink",NA,2067,2067,2067,"Pink",NA,NA
"113","CHEHALIS RIVER",1961,11921,"46040","PKO-01","Fraser Pink",NA,11921,11921,11921,"Pink",NA,NA
"114","CHEHALIS RIVER",1981,169,"46040","PKO-01","Fraser Pink",NA,169,169,169,"Pink",NA,NA
"115","CHEHALIS RIVER",1957,9336,"46040","PKO-01","Fraser Pink",NA,9336,9336,9336,"Pink",NA,NA
"116","CHEHALIS RIVER",1973,14300,"46040","PKO-01","Fraser Pink",NA,14300,14300,14300,"Pink",NA,NA
"117","CHEHALIS RIVER",1975,2356,"46040","PKO-01","Fraser Pink",NA,2356,2356,2356,"Pink",NA,NA
"118","CHEHALIS RIVER",1969,7147,"46040","PKO-01","Fraser Pink",NA,7147,7147,7147,"Pink",NA,NA
"119","CHEHALIS RIVER",1965,7621,"46040","PKO-01","Fraser Pink",NA,7621,7621,7621,"Pink",NA,NA
"120","CHEHALIS RIVER",1971,32178,"46040","PKO-01","Fraser Pink",NA,32178,32178,32178,"Pink",NA,NA
"121","CHEHALIS RIVER",1967,5625,"46040","PKO-01","Fraser Pink",NA,5625,5625,5625,"Pink",NA,NA
"122","CHEHALIS RIVER",1977,2613,"46040","PKO-01","Fraser Pink",NA,2613,2613,2613,"Pink",NA,NA
"123","CHEHALIS RIVER",1983,452,"46040","PKO-01","Fraser Pink",NA,452,452,452,"Pink",NA,NA
"124","CHEHALIS RIVER",1959,6729,"46040","PKO-01","Fraser Pink",NA,6729,6729,6729,"Pink",NA,NA
"125","CHEHALIS RIVER",1963,12394,"46040","PKO-01","Fraser Pink",NA,12394,12394,12394,"Pink",NA,NA
"126","CHEHALIS RIVER",1987,0,"46040","PKO-01","Fraser Pink",NA,0,0,0,"Pink",NA,NA
"127","CHEHALIS RIVER",1989,0,"46040","PKO-01","Fraser Pink",NA,0,0,0,"Pink",NA,NA
"128","CHILCOTIN RIVER (LOWER)",1975,NA,"44496","PKO-01","Fraser Pink",NA,NA,NA,NA,"Pink",NA,NA
"129","CHILCOTIN RIVER (LOWER)",1967,50,"44496","PKO-01","Fraser Pink",NA,50,50,50,"Pink",NA,NA
"130","CHILLIWACK CREEK",1957,125,"47074","PKO-01","Fraser Pink",NA,125,125,125,"Pink",NA,NA
"131","CHILLIWACK RIVER",1991,158876,"46983","PKO-01","Fraser Pink",NA,158876,158876,158876,"Pink",NA,NA
"132","CHILLIWACK RIVER",1985,95556,"46983","PKO-01","Fraser Pink",NA,95556,95556,95556,"Pink",NA,NA
"133","CHILLIWACK RIVER",1979,121927,"46983","PKO-01","Fraser Pink",NA,121927,121927,121927,"Pink",NA,NA
"134","CHILLIWACK RIVER",1977,48254,"46983","PKO-01","Fraser Pink",NA,48254,48254,48254,"Pink",NA,NA
"135","CHILLIWACK RIVER",1967,249499,"46983","PKO-01","Fraser Pink",NA,249499,249499,249499,"Pink",NA,NA
"136","CHILLIWACK RIVER",1983,99240,"46983","PKO-01","Fraser Pink",NA,99240,99240,99240,"Pink",NA,NA
"137","CHILLIWACK RIVER",1963,312685,"46983","PKO-01","Fraser Pink",NA,312685,312685,312685,"Pink",NA,NA
"138","CHILLIWACK RIVER",1987,104524,"46983","PKO-01","Fraser Pink",NA,104524,104524,104524,"Pink",NA,NA
