"CU_Name","Year","Pop_Name","SpnForTrend_Total","Pop_ID","SpnForTrend_Wild","SpnForAbd_Total","SpnForAbd_Wild","Recruits_Total","Recruits_Wild","CU_ID","DU_ID"
"Lower Thompson",2006,"Thompson R",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2006,"Tranquille R",0,44975,NA,0,NA,NA,NA,"CO_03",NA
"Lower Thompson",2007,"Bonaparte R",1251,46200,NA,1251,NA,NA,NA,"CO_03",NA
"Lower Thompson",2007,"Brook Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2007,"Clapperton Cr",NA,44965,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2007,"Coldwater R",3348,46190,NA,3348,NA,NA,NA,"CO_03",NA
"Lower Thompson",2007,"Deadman R",3124,46210,NA,3124,NA,NA,NA,"CO_03",NA
"Lower Thompson",2007,"Guichon Cr",NA,128,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2007,"Juliet Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2007,"Kamloops Lake",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2007,"Maka Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2007,"Nicola R (dam)",NA,44736,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2007,"Nicola R (dot)",NA,46170,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2007,"Nooaitch Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2007,"Quilchena Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2007,"Skuhun Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2007,"Spahomin Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2007,"Spius Cr",2446,46180,NA,2446,NA,NA,NA,"CO_03",NA
"Lower Thompson",2007,"Thompson R",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2007,"Tranquille R",0,44975,NA,0,NA,NA,NA,"CO_03",NA
"Lower Thompson",2008,"Bonaparte R",337,46200,NA,337,NA,NA,NA,"CO_03",NA
"Lower Thompson",2008,"Brook Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2008,"Clapperton Cr",0,44965,NA,0,NA,NA,NA,"CO_03",NA
"Lower Thompson",2008,"Coldwater R",1754,46190,NA,1754,NA,NA,NA,"CO_03",NA
"Lower Thompson",2008,"Deadman R",783,46210,NA,783,NA,NA,NA,"CO_03",NA
"Lower Thompson",2008,"Guichon Cr",0,128,NA,0,NA,NA,NA,"CO_03",NA
"Lower Thompson",2008,"Juliet Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2008,"Kamloops Lake",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2008,"Maka Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2008,"Nicola R (dam)",0,44736,NA,0,NA,NA,NA,"CO_03",NA
"Lower Thompson",2008,"Nicola R (dot)",0,46170,NA,0,NA,NA,NA,"CO_03",NA
"Lower Thompson",2008,"Nooaitch Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2008,"Quilchena Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2008,"Skuhun Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2008,"Spahomin Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2008,"Spius Cr",926,46180,NA,926,NA,NA,NA,"CO_03",NA
"Lower Thompson",2008,"Thompson R",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2008,"Tranquille R",0,44975,NA,0,NA,NA,NA,"CO_03",NA
"Lower Thompson",2009,"Bonaparte R",385,46200,NA,385,NA,NA,NA,"CO_03",NA
"Lower Thompson",2009,"Brook Cr",NA,NA,NA,NA,NA,NA,NA,"CO_03",NA
"Lower Thompson",2009,"Clapperton Cr",0,44965,NA,0,NA,NA,NA,"CO_03",NA
